date,price18
2025-03-30T00:00:00,65409
2025-03-30T00:01:00,65449
2025-03-30T00:02:00,65442
2025-03-30T00:03:00,65471
2025-03-30T00:04:00,65447
2025-03-30T00:05:00,65486
2025-03-30T00:06:00,65530
2025-03-30T00:07:00,65533
2025-03-30T00:08:00,65569
2025-03-30T00:09:00,65525
2025-03-30T00:10:00,65555
2025-03-30T00:11:00,65580
2025-03-30T00:12:00,65542
2025-03-30T00:13:00,65556
2025-03-30T00:14:00,65577
2025-03-30T00:15:00,65586
2025-03-30T00:16:00,65571
2025-03-30T00:17:00,65549
2025-03-30T00:18:00,65545
2025-03-30T00:19:00,65518
2025-03-30T00:20:00,65487
2025-03-30T00:21:00,65447
2025-03-30T00:22:00,65467
2025-03-30T00:23:00,65451
2025-03-30T00:24:00,65460
2025-03-30T00:25:00,65484
2025-03-30T00:26:00,65500
2025-03-30T00:27:00,65523
2025-03-30T00:28:00,65482
2025-03-30T00:29:00,65447
2025-03-30T00:30:00,65423
2025-03-30T00:31:00,65434
2025-03-30T00:32:00,65415
2025-03-30T00:33:00,65400
2025-03-30T00:34:00,65435
2025-03-30T00:35:00,65463
2025-03-30T00:36:00,65480
2025-03-30T00:37:00,65495
2025-03-30T00:38:00,65469
2025-03-30T00:39:00,65441
2025-03-30T00:40:00,65435
2025-03-30T00:41:00,65438
2025-03-30T00:42:00,65440
2025-03-30T00:43:00,65435
2025-03-30T00:44:00,65430
2025-03-30T00:45:00,65468
2025-03-30T00:46:00,65493
2025-03-30T00:47:00,65450
2025-03-30T00:48:00,65452
2025-03-30T00:49:00,65480
2025-03-30T00:50:00,65446
2025-03-30T00:51:00,65408
2025-03-30T00:52:00,65440
2025-03-30T00:53:00,65428
2025-03-30T00:54:00,65478
2025-03-30T00:55:00,65428
2025-03-30T00:56:00,65409
2025-03-30T00:57:00,65428
2025-03-30T00:58:00,65471
2025-03-30T00:59:00,65496
2025-03-30T01:00:00,65530
2025-03-30T01:01:00,65551
2025-03-30T01:02:00,65578
2025-03-30T01:03:00,65588
2025-03-30T01:04:00,65634
2025-03-30T01:05:00,65585
2025-03-30T01:06:00,65619
2025-03-30T01:07:00,65617
2025-03-30T01:08:00,65569
2025-03-30T01:09:00,65537
2025-03-30T01:10:00,65581
2025-03-30T01:11:00,65564
2025-03-30T01:12:00,65566
2025-03-30T01:13:00,65542
2025-03-30T01:14:00,65514
2025-03-30T01:15:00,65493
2025-03-30T01:16:00,65508
2025-03-30T01:17:00,65552
2025-03-30T01:18:00,65588
2025-03-30T01:19:00,65562
2025-03-30T01:20:00,65536
2025-03-30T01:21:00,65579
2025-03-30T01:22:00,65542
2025-03-30T01:23:00,65509
2025-03-30T01:24:00,65459
2025-03-30T01:25:00,65470
2025-03-30T01:26:00,65449
2025-03-30T01:27:00,65442
2025-03-30T01:28:00,65491
2025-03-30T01:29:00,65527
2025-03-30T01:30:00,65561
2025-03-30T01:31:00,65581
2025-03-30T01:32:00,65580
2025-03-30T01:33:00,65555
2025-03-30T01:34:00,65541
2025-03-30T01:35:00,65495
2025-03-30T01:36:00,65526
2025-03-30T01:37:00,65565
2025-03-30T01:38:00,65539
2025-03-30T01:39:00,65530
2025-03-30T01:40:00,65572
2025-03-30T01:41:00,65582
2025-03-30T01:42:00,65611
2025-03-30T01:43:00,65565
2025-03-30T01:44:00,65540
2025-03-30T01:45:00,65565
2025-03-30T01:46:00,65615
2025-03-30T01:47:00,65626
2025-03-30T01:48:00,65624
2025-03-30T01:49:00,65656
2025-03-30T01:50:00,65648
2025-03-30T01:51:00,65640
2025-03-30T01:52:00,65628
2025-03-30T01:53:00,65606
2025-03-30T01:54:00,65618
2025-03-30T01:55:00,65624
2025-03-30T01:56:00,65624
2025-03-30T01:57:00,65575
2025-03-30T01:58:00,65587
2025-03-30T01:59:00,65570
2025-03-30T02:00:00,65536
2025-03-30T02:01:00,65554
2025-03-30T02:02:00,65566
2025-03-30T02:03:00,65559
2025-03-30T02:04:00,65511
2025-03-30T02:05:00,65544
2025-03-30T02:06:00,65512
2025-03-30T02:07:00,65502
2025-03-30T02:08:00,65506
2025-03-30T02:09:00,65479
2025-03-30T02:10:00,65514
2025-03-30T02:11:00,65487
2025-03-30T02:12:00,65495
2025-03-30T02:13:00,65474
2025-03-30T02:14:00,65459
2025-03-30T02:15:00,65497
2025-03-30T02:16:00,65488
2025-03-30T02:17:00,65455
2025-03-30T02:18:00,65478
