date,price18,j_date
2025-02-10T00:00:00,65743,1403/11/22
2025-02-10T00:01:00,65700,1403/11/22
2025-02-10T00:02:00,65658,1403/11/22
2025-02-10T00:03:00,65646,1403/11/22
2025-02-10T00:04:00,65627,1403/11/22
2025-02-10T00:05:00,65586,1403/11/22
2025-02-10T00:06:00,65573,1403/11/22
2025-02-10T00:07:00,65593,1403/11/22
2025-02-10T00:08:00,65593,1403/11/22
2025-02-10T00:09:00,65602,1403/11/22
2025-02-10T00:10:00,65609,1403/11/22
2025-02-10T00:11:00,65609,1403/11/22
2025-02-10T00:12:00,65584,1403/11/22
2025-02-10T00:13:00,65630,1403/11/22
2025-02-10T00:14:00,65667,1403/11/22
2025-02-10T00:15:00,65640,1403/11/22
2025-02-10T00:16:00,65644,1403/11/22
2025-02-10T00:17:00,65684,1403/11/22
2025-02-10T00:18:00,65639,1403/11/22
2025-02-10T00:19:00,65643,1403/11/22
2025-02-10T00:20:00,65684,1403/11/22
2025-02-10T00:21:00,65671,1403/11/22
2025-02-10T00:22:00,65698,1403/11/22
2025-02-10T00:23:00,65713,1403/11/22
2025-02-10T00:24:00,65755,1403/11/22
2025-02-10T00:25:00,65723,1403/11/22
2025-02-10T00:26:00,65722,1403/11/22
2025-02-10T00:27:00,65708,1403/11/22
2025-02-10T00:28:00,65675,1403/11/22
2025-02-10T00:29:00,65642,1403/11/22
2025-02-10T00:30:00,65604,1403/11/22
2025-02-10T00:31:00,65559,1403/11/22
2025-02-10T00:32:00,65528,1403/11/22
2025-02-10T00:33:00,65517,1403/11/22
2025-02-10T00:34:00,65487,1403/11/22
2025-02-10T00:35:00,65524,1403/11/22
2025-02-10T00:36:00,65522,1403/11/22
2025-02-10T00:37:00,65562,1403/11/22
2025-02-10T00:38:00,65608,1403/11/22
2025-02-10T00:39:00,65600,1403/11/22
2025-02-10T00:40:00,65605,1403/11/22
2025-02-10T00:41:00,65586,1403/11/22
2025-02-10T00:42:00,65616,1403/11/22
2025-02-10T00:43:00,65597,1403/11/22
2025-02-10T00:44:00,65548,1403/11/22
2025-02-10T00:45:00,65571,1403/11/22
2025-02-10T00:46:00,65570,1403/11/22
2025-02-10T00:47:00,65569,1403/11/22
2025-02-10T00:48:00,65593,1403/11/22
2025-02-10T00:49:00,65562,1403/11/22
2025-02-10T00:50:00,65512,1403/11/22
2025-02-10T00:51:00,65472,1403/11/22
2025-02-10T00:52:00,65459,1403/11/22
2025-02-10T00:53:00,65457,1403/11/22
2025-02-10T00:54:00,65449,1403/11/22
2025-02-10T00:55:00,65406,1403/11/22
2025-02-10T00:56:00,65359,1403/11/22
2025-02-10T00:57:00,65329,1403/11/22
2025-02-10T00:58:00,65355,1403/11/22
2025-02-10T00:59:00,65351,1403/11/22
2025-02-10T01:00:00,65368,1403/11/22
2025-02-10T01:01:00,65326,1403/11/22
2025-02-10T01:02:00,65338,1403/11/22
2025-02-10T01:03:00,65377,1403/11/22
2025-02-10T01:04:00,65390,1403/11/22
2025-02-10T01:05:00,65394,1403/11/22
2025-02-10T01:06:00,65418,1403/11/22
2025-02-10T01:07:00,65411,1403/11/22
2025-02-10T01:08:00,65456,1403/11/22
2025-02-10T01:09:00,65500,1403/11/22
2025-02-10T01:10:00,65450,1403/11/22
2025-02-10T01:11:00,65482,1403/11/22
2025-02-10T01:12:00,65460,1403/11/22
2025-02-10T01:13:00,65435,1403/11/22
2025-02-10T01:14:00,65452,1403/11/22
2025-02-10T01:15:00,65480,1403/11/22
2025-02-10T01:16:00,65490,1403/11/22
2025-02-10T01:17:00,65539,1403/11/22
2025-02-10T01:18:00,65501,1403/11/22
2025-02-10T01:19:00,65490,1403/11/22
2025-02-10T01:20:00,65472,1403/11/22
2025-02-10T01:21:00,65494,1403/11/22
2025-02-10T01:22:00,65503,1403/11/22
2025-02-10T01:23:00,65474,1403/11/22
2025-02-10T01:24:00,65452,1403/11/22
2025-02-10T01:25:00,65433,1403/11/22
2025-02-10T01:26:00,65478,1403/11/22
2025-02-10T01:27:00,65528,1403/11/22
2025-02-10T01:28:00,65571,1403/11/22
2025-02-10T01:29:00,65592,1403/11/22
2025-02-10T01:30:00,65629,1403/11/22
2025-02-10T01:31:00,65597,1403/11/22
2025-02-10T01:32:00,65622,1403/11/22
2025-02-10T01:33:00,65600,1403/11/22
2025-02-10T01:34:00,65632,1403/11/22
2025-02-10T01:35:00,65613,1403/11/22
2025-02-10T01:36:00,65621,1403/11/22
2025-02-10T01:37:00,65643,1403/11/22
2025-02-10T01:38:00,65651,1403/11/22
2025-02-10T01:39:00,65604,1403/11/22
2025-02-10T01:40:00,65616,1403/11/22
2025-02-10T01:41:00,65598,1403/11/22
2025-02-10T01:42:00,65587,1403/11/22
2025-02-10T01:43:00,65568,1403/11/22
2025-02-10T01:44:00,65595,1403/11/22
2025-02-10T01:45:00,65551,1403/11/22
2025-02-10T01:46:00,65563,1403/11/22
2025-02-10T01:47:00,65585,1403/11/22
2025-02-10T01:48:00,65578,1403/11/22
2025-02-10T01:49:00,65557,1403/11/22
2025-02-10T01:50:00,65588,1403/11/22
2025-02-10T01:51:00,65606,1403/11/22
2025-02-10T01:52:00,65579,1403/11/22
2025-02-10T01:53:00,65621,1403/11/22
2025-02-10T01:54:00,65630,1403/11/22
2025-02-10T01:55:00,65672,1403/11/22
2025-02-10T01:56:00,65701,1403/11/22
2025-02-10T01:57:00,65723,1403/11/22
2025-02-10T01:58:00,65697,1403/11/22
2025-02-10T01:59:00,65704,1403/11/22
2025-02-10T02:00:00,65661,1403/11/22
2025-02-10T02:01:00,65620,1403/11/22
2025-02-10T02:02:00,65657,1403/11/22
2025-02-10T02:03:00,65608,1403/11/22
2025-02-10T02:04:00,65581,1403/11/22
2025-02-10T02:05:00,65585,1403/11/22
2025-02-10T02:06:00,65604,1403/11/22
2025-02-10T02:07:00,65609,1403/11/22
2025-02-10T02:08:00,65581,1403/11/22
2025-02-10T02:09:00,65542,1403/11/22
2025-02-10T02:10:00,65585,1403/11/22
2025-02-10T02:11:00,65624,1403/11/22
2025-02-10T02:12:00,65599,1403/11/22
2025-02-10T02:13:00,65602,1403/11/22
2025-02-10T02:14:00,65564,1403/11/22
2025-02-10T02:15:00,65543,1403/11/22
2025-02-10T02:16:00,65494,1403/11/22
2025-02-10T02:17:00,65519,1403/11/22
2025-02-10T02:18:00,65496,1403/11/22
2025-02-10T02:19:00,65483,1403/11/22
2025-02-10T02:20:00,65456,1403/11/22
2025-02-10T02:21:00,65489,1403/11/22
2025-02-10T02:22:00,65476,1403/11/22
2025-02-10T02:23:00,65468,1403/11/22
2025-02-10T02:24:00,65502,1403/11/22
2025-02-10T02:25:00,65492,1403/11/22
2025-02-10T02:26:00,65444,1403/11/22
2025-02-10T02:27:00,65429,1403/11/22
2025-02-10T02:28:00,65434,1403/11/22
2025-02-10T02:29:00,65481,1403/11/22
2025-02-10T02:30:00,65526,1403/11/22
2025-02-10T02:31:00,65507,1403/11/22
2025-02-10T02:32:00,65483,1403/11/22
2025-02-10T02:33:00,65513,1403/11/22
2025-02-10T02:34:00,65547,1403/11/22
2025-02-10T02:35:00,65592,1403/11/22
2025-02-10T02:36:00,65630,1403/11/22
2025-02-10T02:37:00,65585,1403/11/22
2025-02-10T02:38:00,65558,1403/11/22
2025-02-10T02:39:00,65582,1403/11/22
2025-02-10T02:40:00,65532,1403/11/22
2025-02-10T02:41:00,65524,1403/11/22
2025-02-10T02:42:00,65538,1403/11/22
2025-02-10T02:43:00,65529,1403/11/22
2025-02-10T02:44:00,65560,1403/11/22
2025-02-10T02:45:00,65601,1403/11/22
2025-02-10T02:46:00,65581,1403/11/22
2025-02-10T02:47:00,65573,1403/11/22
2025-02-10T02:48:00,65594,1403/11/22
2025-02-10T02:49:00,65627,1403/11/22
2025-02-10T02:50:00,65632,1403/11/22
2025-02-10T02:51:00,65660,1403/11/22
2025-02-10T02:52:00,65705,1403/11/22
2025-02-10T02:53:00,65684,1403/11/22
2025-02-10T02:54:00,65703,1403/11/22
2025-02-10T02:55:00,65689,1403/11/22
2025-02-10T02:56:00,65702,1403/11/22
2025-02-10T02:57:00,65731,1403/11/22
2025-02-10T02:58:00,65688,1403/11/22
2025-02-10T02:59:00,65724,1403/11/22
2025-02-10T03:00:00,65773,1403/11/22
2025-02-10T03:01:00,65803,1403/11/22
2025-02-10T03:02:00,65845,1403/11/22
2025-02-10T03:03:00,65883,1403/11/22
2025-02-10T03:04:00,65932,1403/11/22
2025-02-10T03:05:00,65893,1403/11/22
2025-02-10T03:06:00,65937,1403/11/22
2025-02-10T03:07:00,65945,1403/11/22
2025-02-10T03:08:00,65895,1403/11/22
2025-02-10T03:09:00,65859,1403/11/22
2025-02-10T03:10:00,65861,1403/11/22
2025-02-10T03:11:00,65832,1403/11/22
2025-02-10T03:12:00,65813,1403/11/22
2025-02-10T03:13:00,65785,1403/11/22
2025-02-10T03:14:00,65743,1403/11/22
2025-02-10T03:15:00,65784,1403/11/22
2025-02-10T03:16:00,65819,1403/11/22
2025-02-10T03:17:00,65819,1403/11/22
2025-02-10T03:18:00,65861,1403/11/22
2025-02-10T03:19:00,65875,1403/11/22
2025-02-10T03:20:00,65920,1403/11/22
2025-02-10T03:21:00,65877,1403/11/22
2025-02-10T03:22:00,65903,1403/11/22
2025-02-10T03:23:00,65922,1403/11/22
2025-02-10T03:24:00,65872,1403/11/22
2025-02-10T03:25:00,65839,1403/11/22
2025-02-10T03:26:00,65825,1403/11/22
2025-02-10T03:27:00,65839,1403/11/22
2025-02-10T03:28:00,65790,1403/11/22
2025-02-10T03:29:00,65829,1403/11/22
2025-02-10T03:30:00,65840,1403/11/22
2025-02-10T03:31:00,65825,1403/11/22
2025-02-10T03:32:00,65782,1403/11/22
2025-02-10T03:33:00,65810,1403/11/22
2025-02-10T03:34:00,65809,1403/11/22
2025-02-10T03:35:00,65790,1403/11/22
2025-02-10T03:36:00,65821,1403/11/22
2025-02-10T03:37:00,65827,1403/11/22
2025-02-10T03:38:00,65807,1403/11/22
2025-02-10T03:39:00,65842,1403/11/22
2025-02-10T03:40:00,65886,1403/11/22
2025-02-10T03:41:00,65880,1403/11/22
2025-02-10T03:42:00,65874,1403/11/22
2025-02-10T03:43:00,65920,1403/11/22
2025-02-10T03:44:00,65964,1403/11/22
2025-02-10T03:45:00,65974,1403/11/22
2025-02-10T03:46:00,65963,1403/11/22
2025-02-10T03:47:00,65959,1403/11/22
2025-02-10T03:48:00,65999,1403/11/22
2025-02-10T03:49:00,66030,1403/11/22
2025-02-10T03:50:00,66022,1403/11/22
2025-02-10T03:51:00,65996,1403/11/22
2025-02-10T03:52:00,66011,1403/11/22
2025-02-10T03:53:00,66023,1403/11/22
2025-02-10T03:54:00,66065,1403/11/22
2025-02-10T03:55:00,66097,1403/11/22
2025-02-10T03:56:00,66063,1403/11/22
2025-02-10T03:57:00,66046,1403/11/22
2025-02-10T03:58:00,66005,1403/11/22
2025-02-10T03:59:00,66042,1403/11/22
2025-02-10T04:00:00,66040,1403/11/22
2025-02-10T04:01:00,66063,1403/11/22
2025-02-10T04:02:00,66108,1403/11/22
2025-02-10T04:03:00,66119,1403/11/22
2025-02-10T04:04:00,66115,1403/11/22
2025-02-10T04:05:00,66140,1403/11/22
2025-02-10T04:06:00,66098,1403/11/22
2025-02-10T04:07:00,66074,1403/11/22
2025-02-10T04:08:00,66082,1403/11/22
2025-02-10T04:09:00,66129,1403/11/22
2025-02-10T04:10:00,66124,1403/11/22
2025-02-10T04:11:00,66083,1403/11/22
2025-02-10T04:12:00,66102,1403/11/22
2025-02-10T04:13:00,66119,1403/11/22
2025-02-10T04:14:00,66114,1403/11/22
2025-02-10T04:15:00,66127,1403/11/22
2025-02-10T04:16:00,66123,1403/11/22
2025-02-10T04:17:00,66115,1403/11/22
2025-02-10T04:18:00,66143,1403/11/22
2025-02-10T04:19:00,66147,1403/11/22
2025-02-10T04:20:00,66120,1403/11/22
2025-02-10T04:21:00,66089,1403/11/22
2025-02-10T04:22:00,66098,1403/11/22
2025-02-10T04:23:00,66094,1403/11/22
2025-02-10T04:24:00,66080,1403/11/22
2025-02-10T04:25:00,66048,1403/11/22
2025-02-10T04:26:00,66005,1403/11/22
2025-02-10T04:27:00,65990,1403/11/22
2025-02-10T04:28:00,66020,1403/11/22
2025-02-10T04:29:00,65975,1403/11/22
2025-02-10T04:30:00,65969,1403/11/22
2025-02-10T04:31:00,65922,1403/11/22
2025-02-10T04:32:00,65877,1403/11/22
2025-02-10T04:33:00,65924,1403/11/22
2025-02-10T04:34:00,65965,1403/11/22
2025-02-10T04:35:00,66013,1403/11/22
2025-02-10T04:36:00,66030,1403/11/22
2025-02-10T04:37:00,66066,1403/11/22
2025-02-10T04:38:00,66106,1403/11/22
2025-02-10T04:39:00,66058,1403/11/22
2025-02-10T04:40:00,66096,1403/11/22
2025-02-10T04:41:00,66096,1403/11/22
