date,price18,j_date
2025-03-16T00:00:00,65655,1403/12/26
2025-03-16T00:01:00,65627,1403/12/26
2025-03-16T00:02:00,65599,1403/12/26
2025-03-16T00:03:00,65587,1403/12/26
2025-03-16T00:04:00,65594,1403/12/26
2025-03-16T00:05:00,65571,1403/12/26
2025-03-16T00:06:00,65596,1403/12/26
2025-03-16T00:07:00,65643,1403/12/26
2025-03-16T00:08:00,65673,1403/12/26
2025-03-16T00:09:00,65641,1403/12/26
2025-03-16T00:10:00,65687,1403/12/26
2025-03-16T00:11:00,65662,1403/12/26
2025-03-16T00:12:00,65612,1403/12/26
2025-03-16T00:13:00,65643,1403/12/26
2025-03-16T00:14:00,65629,1403/12/26
2025-03-16T00:15:00,65587,1403/12/26
2025-03-16T00:16:00,65604,1403/12/26
2025-03-16T00:17:00,65647,1403/12/26
2025-03-16T00:18:00,65692,1403/12/26
2025-03-16T00:19:00,65723,1403/12/26
2025-03-16T00:20:00,65724,1403/12/26
2025-03-16T00:21:00,65681,1403/12/26
2025-03-16T00:22:00,65693,1403/12/26
2025-03-16T00:23:00,65685,1403/12/26
2025-03-16T00:24:00,65715,1403/12/26
2025-03-16T00:25:00,65758,1403/12/26
2025-03-16T00:26:00,65798,1403/12/26
2025-03-16T00:27:00,65831,1403/12/26
2025-03-16T00:28:00,65808,1403/12/26
2025-03-16T00:29:00,65856,1403/12/26
2025-03-16T00:30:00,65841,1403/12/26
2025-03-16T00:31:00,65865,1403/12/26
2025-03-16T00:32:00,65865,1403/12/26
2025-03-16T00:33:00,65883,1403/12/26
2025-03-16T00:34:00,65865,1403/12/26
2025-03-16T00:35:00,65866,1403/12/26
2025-03-16T00:36:00,65826,1403/12/26
2025-03-16T00:37:00,65829,1403/12/26
2025-03-16T00:38:00,65866,1403/12/26
2025-03-16T00:39:00,65873,1403/12/26
2025-03-16T00:40:00,65832,1403/12/26
2025-03-16T00:41:00,65827,1403/12/26
2025-03-16T00:42:00,65782,1403/12/26
2025-03-16T00:43:00,65763,1403/12/26
2025-03-16T00:44:00,65720,1403/12/26
2025-03-16T00:45:00,65677,1403/12/26
2025-03-16T00:46:00,65695,1403/12/26
2025-03-16T00:47:00,65686,1403/12/26
2025-03-16T00:48:00,65684,1403/12/26
2025-03-16T00:49:00,65656,1403/12/26
2025-03-16T00:50:00,65648,1403/12/26
2025-03-16T00:51:00,65689,1403/12/26
2025-03-16T00:52:00,65728,1403/12/26
2025-03-16T00:53:00,65683,1403/12/26
2025-03-16T00:54:00,65718,1403/12/26
2025-03-16T00:55:00,65722,1403/12/26
2025-03-16T00:56:00,65696,1403/12/26
2025-03-16T00:57:00,65705,1403/12/26
2025-03-16T00:58:00,65671,1403/12/26
2025-03-16T00:59:00,65625,1403/12/26
2025-03-16T01:00:00,65586,1403/12/26
2025-03-16T01:01:00,65577,1403/12/26
2025-03-16T01:02:00,65549,1403/12/26
2025-03-16T01:03:00,65583,1403/12/26
2025-03-16T01:04:00,65554,1403/12/26
2025-03-16T01:05:00,65509,1403/12/26
2025-03-16T01:06:00,65489,1403/12/26
2025-03-16T01:07:00,65467,1403/12/26
2025-03-16T01:08:00,65469,1403/12/26
