date,price18,j_date
2025-05-16T00:00:00,66810,1404/02/26
2025-05-16T00:01:00,66838,1404/02/26
2025-05-16T00:02:00,66809,1404/02/26
2025-05-16T00:03:00,66793,1404/02/26
2025-05-16T00:04:00,66832,1404/02/26
2025-05-16T00:05:00,66796,1404/02/26
2025-05-16T00:06:00,66837,1404/02/26
2025-05-16T00:07:00,66830,1404/02/26
2025-05-16T00:08:00,66844,1404/02/26
2025-05-16T00:09:00,66825,1404/02/26
2025-05-16T00:10:00,66802,1404/02/26
2025-05-16T00:11:00,66809,1404/02/26
2025-05-16T00:12:00,66830,1404/02/26
2025-05-16T00:13:00,66809,1404/02/26
2025-05-16T00:14:00,66783,1404/02/26
2025-05-16T00:15:00,66817,1404/02/26
2025-05-16T00:16:00,66864,1404/02/26
2025-05-16T00:17:00,66833,1404/02/26
2025-05-16T00:18:00,66799,1404/02/26
2025-05-16T00:19:00,66848,1404/02/26
2025-05-16T00:20:00,66885,1404/02/26
2025-05-16T00:21:00,66911,1404/02/26
2025-05-16T00:22:00,66904,1404/02/26
2025-05-16T00:23:00,66884,1404/02/26
2025-05-16T00:24:00,66923,1404/02/26
2025-05-16T00:25:00,66889,1404/02/26
2025-05-16T00:26:00,66903,1404/02/26
2025-05-16T00:27:00,66895,1404/02/26
2025-05-16T00:28:00,66939,1404/02/26
2025-05-16T00:29:00,66969,1404/02/26
2025-05-16T00:30:00,67000,1404/02/26
2025-05-16T00:31:00,67000,1404/02/26
2025-05-16T00:32:00,66981,1404/02/26
2025-05-16T00:33:00,66952,1404/02/26
2025-05-16T00:34:00,66991,1404/02/26
2025-05-16T00:35:00,66966,1404/02/26
2025-05-16T00:36:00,66941,1404/02/26
2025-05-16T00:37:00,66986,1404/02/26
2025-05-16T00:38:00,66993,1404/02/26
2025-05-16T00:39:00,66975,1404/02/26
2025-05-16T00:40:00,66993,1404/02/26
2025-05-16T00:41:00,66985,1404/02/26
2025-05-16T00:42:00,66948,1404/02/26
2025-05-16T00:43:00,66963,1404/02/26
2025-05-16T00:44:00,66973,1404/02/26
2025-05-16T00:45:00,67000,1404/02/26
2025-05-16T00:46:00,67000,1404/02/26
2025-05-16T00:47:00,67000,1404/02/26
2025-05-16T00:48:00,66970,1404/02/26
2025-05-16T00:49:00,66973,1404/02/26
2025-05-16T00:50:00,66945,1404/02/26
2025-05-16T00:51:00,66946,1404/02/26
2025-05-16T00:52:00,66978,1404/02/26
2025-05-16T00:53:00,67000,1404/02/26
2025-05-16T00:54:00,67000,1404/02/26
2025-05-16T00:55:00,66989,1404/02/26
2025-05-16T00:56:00,66956,1404/02/26
2025-05-16T00:57:00,66914,1404/02/26
2025-05-16T00:58:00,66879,1404/02/26
2025-05-16T00:59:00,66878,1404/02/26
2025-05-16T01:00:00,66917,1404/02/26
2025-05-16T01:01:00,66912,1404/02/26
2025-05-16T01:02:00,66932,1404/02/26
2025-05-16T01:03:00,66943,1404/02/26
2025-05-16T01:04:00,66953,1404/02/26
2025-05-16T01:05:00,66990,1404/02/26
2025-05-16T01:06:00,67000,1404/02/26
2025-05-16T01:07:00,66996,1404/02/26
2025-05-16T01:08:00,67000,1404/02/26
2025-05-16T01:09:00,67000,1404/02/26
2025-05-16T01:10:00,67000,1404/02/26
2025-05-16T01:11:00,66971,1404/02/26
2025-05-16T01:12:00,66927,1404/02/26
2025-05-16T01:13:00,66916,1404/02/26
2025-05-16T01:14:00,66944,1404/02/26
2025-05-16T01:15:00,66929,1404/02/26
2025-05-16T01:16:00,66953,1404/02/26
2025-05-16T01:17:00,66987,1404/02/26
2025-05-16T01:18:00,66944,1404/02/26
2025-05-16T01:19:00,66916,1404/02/26
2025-05-16T01:20:00,66929,1404/02/26
2025-05-16T01:21:00,66922,1404/02/26
2025-05-16T01:22:00,66906,1404/02/26
2025-05-16T01:23:00,66867,1404/02/26
