date,price18,j_date
2025-02-16T00:00:00,65095,1403/11/28
2025-02-16T00:01:00,65095,1403/11/28
2025-02-16T00:02:00,65145,1403/11/28
2025-02-16T00:03:00,65132,1403/11/28
2025-02-16T00:04:00,65130,1403/11/28
2025-02-16T00:05:00,65086,1403/11/28
2025-02-16T00:06:00,65127,1403/11/28
2025-02-16T00:07:00,65142,1403/11/28
2025-02-16T00:08:00,65115,1403/11/28
2025-02-16T00:09:00,65138,1403/11/28
2025-02-16T00:10:00,65095,1403/11/28
2025-02-16T00:11:00,65108,1403/11/28
2025-02-16T00:12:00,65073,1403/11/28
2025-02-16T00:13:00,65023,1403/11/28
2025-02-16T00:14:00,65009,1403/11/28
2025-02-16T00:15:00,65016,1403/11/28
2025-02-16T00:16:00,65000,1403/11/28
2025-02-16T00:17:00,65000,1403/11/28
2025-02-16T00:18:00,65015,1403/11/28
2025-02-16T00:19:00,65000,1403/11/28
2025-02-16T00:20:00,65000,1403/11/28
2025-02-16T00:21:00,65016,1403/11/28
2025-02-16T00:22:00,65000,1403/11/28
2025-02-16T00:23:00,65000,1403/11/28
2025-02-16T00:24:00,65032,1403/11/28
2025-02-16T00:25:00,65077,1403/11/28
2025-02-16T00:26:00,65034,1403/11/28
2025-02-16T00:27:00,65045,1403/11/28
2025-02-16T00:28:00,65082,1403/11/28
2025-02-16T00:29:00,65128,1403/11/28
2025-02-16T00:30:00,65125,1403/11/28
2025-02-16T00:31:00,65159,1403/11/28
2025-02-16T00:32:00,65163,1403/11/28
2025-02-16T00:33:00,65127,1403/11/28
2025-02-16T00:34:00,65159,1403/11/28
2025-02-16T00:35:00,65193,1403/11/28
2025-02-16T00:36:00,65165,1403/11/28
2025-02-16T00:37:00,65130,1403/11/28
2025-02-16T00:38:00,65150,1403/11/28
2025-02-16T00:39:00,65165,1403/11/28
2025-02-16T00:40:00,65115,1403/11/28
2025-02-16T00:41:00,65148,1403/11/28
2025-02-16T00:42:00,65133,1403/11/28
2025-02-16T00:43:00,65155,1403/11/28
2025-02-16T00:44:00,65117,1403/11/28
2025-02-16T00:45:00,65093,1403/11/28
2025-02-16T00:46:00,65102,1403/11/28
2025-02-16T00:47:00,65143,1403/11/28
2025-02-16T00:48:00,65107,1403/11/28
2025-02-16T00:49:00,65129,1403/11/28
2025-02-16T00:50:00,65111,1403/11/28
2025-02-16T00:51:00,65108,1403/11/28
2025-02-16T00:52:00,65123,1403/11/28
2025-02-16T00:53:00,65126,1403/11/28
2025-02-16T00:54:00,65081,1403/11/28
2025-02-16T00:55:00,65047,1403/11/28
2025-02-16T00:56:00,65033,1403/11/28
2025-02-16T00:57:00,65000,1403/11/28
2025-02-16T00:58:00,65005,1403/11/28
2025-02-16T00:59:00,65046,1403/11/28
2025-02-16T01:00:00,65000,1403/11/28
2025-02-16T01:01:00,65041,1403/11/28
2025-02-16T01:02:00,65056,1403/11/28
2025-02-16T01:03:00,65028,1403/11/28
2025-02-16T01:04:00,65000,1403/11/28
2025-02-16T01:05:00,65000,1403/11/28
2025-02-16T01:06:00,65043,1403/11/28
2025-02-16T01:07:00,65068,1403/11/28
2025-02-16T01:08:00,65087,1403/11/28
2025-02-16T01:09:00,65088,1403/11/28
2025-02-16T01:10:00,65107,1403/11/28
2025-02-16T01:11:00,65136,1403/11/28
2025-02-16T01:12:00,65157,1403/11/28
2025-02-16T01:13:00,65113,1403/11/28
2025-02-16T01:14:00,65117,1403/11/28
2025-02-16T01:15:00,65080,1403/11/28
2025-02-16T01:16:00,65081,1403/11/28
2025-02-16T01:17:00,65111,1403/11/28
2025-02-16T01:18:00,65138,1403/11/28
2025-02-16T01:19:00,65102,1403/11/28
2025-02-16T01:20:00,65126,1403/11/28
2025-02-16T01:21:00,65158,1403/11/28
2025-02-16T01:22:00,65147,1403/11/28
2025-02-16T01:23:00,65123,1403/11/28
2025-02-16T01:24:00,65124,1403/11/28
2025-02-16T01:25:00,65086,1403/11/28
2025-02-16T01:26:00,65043,1403/11/28
