date,price18,j_date
2025-02-13T00:00:00,66253,1403/11/25
2025-02-13T00:01:00,66206,1403/11/25
2025-02-13T00:02:00,66245,1403/11/25
2025-02-13T00:03:00,66238,1403/11/25
2025-02-13T00:04:00,66287,1403/11/25
2025-02-13T00:05:00,66314,1403/11/25
2025-02-13T00:06:00,66342,1403/11/25
2025-02-13T00:07:00,66355,1403/11/25
2025-02-13T00:08:00,66327,1403/11/25
2025-02-13T00:09:00,66288,1403/11/25
2025-02-13T00:10:00,66293,1403/11/25
2025-02-13T00:11:00,66279,1403/11/25
2025-02-13T00:12:00,66267,1403/11/25
2025-02-13T00:13:00,66272,1403/11/25
2025-02-13T00:14:00,66230,1403/11/25
2025-02-13T00:15:00,66230,1403/11/25
2025-02-13T00:16:00,66205,1403/11/25
2025-02-13T00:17:00,66247,1403/11/25
2025-02-13T00:18:00,66219,1403/11/25
2025-02-13T00:19:00,66262,1403/11/25
2025-02-13T00:20:00,66298,1403/11/25
2025-02-13T00:21:00,66304,1403/11/25
2025-02-13T00:22:00,66334,1403/11/25
2025-02-13T00:23:00,66365,1403/11/25
2025-02-13T00:24:00,66364,1403/11/25
2025-02-13T00:25:00,66403,1403/11/25
2025-02-13T00:26:00,66370,1403/11/25
2025-02-13T00:27:00,66419,1403/11/25
2025-02-13T00:28:00,66375,1403/11/25
2025-02-13T00:29:00,66386,1403/11/25
2025-02-13T00:30:00,66410,1403/11/25
2025-02-13T00:31:00,66449,1403/11/25
2025-02-13T00:32:00,66430,1403/11/25
2025-02-13T00:33:00,66454,1403/11/25
2025-02-13T00:34:00,66435,1403/11/25
2025-02-13T00:35:00,66445,1403/11/25
2025-02-13T00:36:00,66445,1403/11/25
2025-02-13T00:37:00,66449,1403/11/25
2025-02-13T00:38:00,66460,1403/11/25
2025-02-13T00:39:00,66470,1403/11/25
2025-02-13T00:40:00,66449,1403/11/25
2025-02-13T00:41:00,66452,1403/11/25
2025-02-13T00:42:00,66491,1403/11/25
2025-02-13T00:43:00,66511,1403/11/25
2025-02-13T00:44:00,66464,1403/11/25
2025-02-13T00:45:00,66423,1403/11/25
2025-02-13T00:46:00,66429,1403/11/25
2025-02-13T00:47:00,66388,1403/11/25
2025-02-13T00:48:00,66380,1403/11/25
2025-02-13T00:49:00,66345,1403/11/25
2025-02-13T00:50:00,66395,1403/11/25
2025-02-13T00:51:00,66353,1403/11/25
2025-02-13T00:52:00,66376,1403/11/25
2025-02-13T00:53:00,66406,1403/11/25
2025-02-13T00:54:00,66391,1403/11/25
2025-02-13T00:55:00,66414,1403/11/25
2025-02-13T00:56:00,66378,1403/11/25
2025-02-13T00:57:00,66393,1403/11/25
2025-02-13T00:58:00,66395,1403/11/25
2025-02-13T00:59:00,66398,1403/11/25
2025-02-13T01:00:00,66447,1403/11/25
2025-02-13T01:01:00,66449,1403/11/25
2025-02-13T01:02:00,66470,1403/11/25
2025-02-13T01:03:00,66482,1403/11/25
2025-02-13T01:04:00,66496,1403/11/25
2025-02-13T01:05:00,66529,1403/11/25
2025-02-13T01:06:00,66486,1403/11/25
2025-02-13T01:07:00,66498,1403/11/25
2025-02-13T01:08:00,66458,1403/11/25
2025-02-13T01:09:00,66482,1403/11/25
2025-02-13T01:10:00,66456,1403/11/25
2025-02-13T01:11:00,66410,1403/11/25
2025-02-13T01:12:00,66405,1403/11/25
2025-02-13T01:13:00,66387,1403/11/25
2025-02-13T01:14:00,66340,1403/11/25
2025-02-13T01:15:00,66310,1403/11/25
2025-02-13T01:16:00,66358,1403/11/25
2025-02-13T01:17:00,66319,1403/11/25
2025-02-13T01:18:00,66367,1403/11/25
2025-02-13T01:19:00,66355,1403/11/25
2025-02-13T01:20:00,66347,1403/11/25
2025-02-13T01:21:00,66303,1403/11/25
2025-02-13T01:22:00,66273,1403/11/25
2025-02-13T01:23:00,66287,1403/11/25
2025-02-13T01:24:00,66261,1403/11/25
2025-02-13T01:25:00,66215,1403/11/25
2025-02-13T01:26:00,66264,1403/11/25
2025-02-13T01:27:00,66225,1403/11/25
2025-02-13T01:28:00,66257,1403/11/25
2025-02-13T01:29:00,66238,1403/11/25
2025-02-13T01:30:00,66188,1403/11/25
2025-02-13T01:31:00,66197,1403/11/25
2025-02-13T01:32:00,66164,1403/11/25
2025-02-13T01:33:00,66164,1403/11/25
2025-02-13T01:34:00,66114,1403/11/25
2025-02-13T01:35:00,66096,1403/11/25
2025-02-13T01:36:00,66062,1403/11/25
2025-02-13T01:37:00,66027,1403/11/25
2025-02-13T01:38:00,65988,1403/11/25
2025-02-13T01:39:00,66013,1403/11/25
2025-02-13T01:40:00,66050,1403/11/25
2025-02-13T01:41:00,66004,1403/11/25
2025-02-13T01:42:00,66041,1403/11/25
2025-02-13T01:43:00,66064,1403/11/25
2025-02-13T01:44:00,66042,1403/11/25
2025-02-13T01:45:00,66004,1403/11/25
2025-02-13T01:46:00,65999,1403/11/25
2025-02-13T01:47:00,66019,1403/11/25
2025-02-13T01:48:00,66000,1403/11/25
2025-02-13T01:49:00,66003,1403/11/25
2025-02-13T01:50:00,66022,1403/11/25
2025-02-13T01:51:00,65972,1403/11/25
2025-02-13T01:52:00,65991,1403/11/25
2025-02-13T01:53:00,66010,1403/11/25
2025-02-13T01:54:00,65999,1403/11/25
2025-02-13T01:55:00,65981,1403/11/25
2025-02-13T01:56:00,65966,1403/11/25
2025-02-13T01:57:00,65940,1403/11/25
2025-02-13T01:58:00,65960,1403/11/25
2025-02-13T01:59:00,65967,1403/11/25
2025-02-13T02:00:00,65972,1403/11/25
2025-02-13T02:01:00,65978,1403/11/25
2025-02-13T02:02:00,66017,1403/11/25
2025-02-13T02:03:00,65997,1403/11/25
2025-02-13T02:04:00,65984,1403/11/25
2025-02-13T02:05:00,65981,1403/11/25
2025-02-13T02:06:00,66002,1403/11/25
2025-02-13T02:07:00,65965,1403/11/25
2025-02-13T02:08:00,65940,1403/11/25
2025-02-13T02:09:00,65928,1403/11/25
2025-02-13T02:10:00,65913,1403/11/25
2025-02-13T02:11:00,65887,1403/11/25
2025-02-13T02:12:00,65890,1403/11/25
2025-02-13T02:13:00,65864,1403/11/25
2025-02-13T02:14:00,65845,1403/11/25
2025-02-13T02:15:00,65873,1403/11/25
2025-02-13T02:16:00,65903,1403/11/25
2025-02-13T02:17:00,65947,1403/11/25
2025-02-13T02:18:00,65935,1403/11/25
2025-02-13T02:19:00,65904,1403/11/25
2025-02-13T02:20:00,65858,1403/11/25
2025-02-13T02:21:00,65849,1403/11/25
2025-02-13T02:22:00,65852,1403/11/25
2025-02-13T02:23:00,65837,1403/11/25
2025-02-13T02:24:00,65857,1403/11/25
2025-02-13T02:25:00,65808,1403/11/25
2025-02-13T02:26:00,65777,1403/11/25
2025-02-13T02:27:00,65768,1403/11/25
2025-02-13T02:28:00,65817,1403/11/25
2025-02-13T02:29:00,65860,1403/11/25
2025-02-13T02:30:00,65869,1403/11/25
2025-02-13T02:31:00,65879,1403/11/25
2025-02-13T02:32:00,65867,1403/11/25
2025-02-13T02:33:00,65840,1403/11/25
2025-02-13T02:34:00,65821,1403/11/25
2025-02-13T02:35:00,65830,1403/11/25
2025-02-13T02:36:00,65843,1403/11/25
2025-02-13T02:37:00,65837,1403/11/25
2025-02-13T02:38:00,65872,1403/11/25
2025-02-13T02:39:00,65893,1403/11/25
2025-02-13T02:40:00,65926,1403/11/25
2025-02-13T02:41:00,65938,1403/11/25
2025-02-13T02:42:00,65934,1403/11/25
2025-02-13T02:43:00,65979,1403/11/25
2025-02-13T02:44:00,65980,1403/11/25
2025-02-13T02:45:00,66024,1403/11/25
2025-02-13T02:46:00,65974,1403/11/25
2025-02-13T02:47:00,65984,1403/11/25
2025-02-13T02:48:00,66015,1403/11/25
2025-02-13T02:49:00,65986,1403/11/25
2025-02-13T02:50:00,65992,1403/11/25
2025-02-13T02:51:00,65969,1403/11/25
2025-02-13T02:52:00,65943,1403/11/25
2025-02-13T02:53:00,65905,1403/11/25
2025-02-13T02:54:00,65927,1403/11/25
2025-02-13T02:55:00,65964,1403/11/25
2025-02-13T02:56:00,65980,1403/11/25
2025-02-13T02:57:00,65954,1403/11/25
2025-02-13T02:58:00,65953,1403/11/25
2025-02-13T02:59:00,65955,1403/11/25
2025-02-13T03:00:00,65977,1403/11/25
2025-02-13T03:01:00,65969,1403/11/25
2025-02-13T03:02:00,65976,1403/11/25
2025-02-13T03:03:00,65967,1403/11/25
2025-02-13T03:04:00,65928,1403/11/25
2025-02-13T03:05:00,65967,1403/11/25
2025-02-13T03:06:00,65983,1403/11/25
2025-02-13T03:07:00,65978,1403/11/25
2025-02-13T03:08:00,66020,1403/11/25
2025-02-13T03:09:00,66021,1403/11/25
2025-02-13T03:10:00,66055,1403/11/25
2025-02-13T03:11:00,66057,1403/11/25
2025-02-13T03:12:00,66074,1403/11/25
2025-02-13T03:13:00,66085,1403/11/25
2025-02-13T03:14:00,66035,1403/11/25
2025-02-13T03:15:00,66074,1403/11/25
2025-02-13T03:16:00,66090,1403/11/25
2025-02-13T03:17:00,66040,1403/11/25
2025-02-13T03:18:00,66008,1403/11/25
2025-02-13T03:19:00,66037,1403/11/25
2025-02-13T03:20:00,66061,1403/11/25
2025-02-13T03:21:00,66050,1403/11/25
2025-02-13T03:22:00,66096,1403/11/25
2025-02-13T03:23:00,66115,1403/11/25
2025-02-13T03:24:00,66111,1403/11/25
2025-02-13T03:25:00,66075,1403/11/25
2025-02-13T03:26:00,66066,1403/11/25
2025-02-13T03:27:00,66031,1403/11/25
2025-02-13T03:28:00,66011,1403/11/25
2025-02-13T03:29:00,65995,1403/11/25
2025-02-13T03:30:00,65962,1403/11/25
2025-02-13T03:31:00,65948,1403/11/25
2025-02-13T03:32:00,65984,1403/11/25
2025-02-13T03:33:00,65959,1403/11/25
2025-02-13T03:34:00,65954,1403/11/25
2025-02-13T03:35:00,65947,1403/11/25
2025-02-13T03:36:00,65975,1403/11/25
2025-02-13T03:37:00,65928,1403/11/25
2025-02-13T03:38:00,65914,1403/11/25
2025-02-13T03:39:00,65895,1403/11/25
2025-02-13T03:40:00,65850,1403/11/25
2025-02-13T03:41:00,65811,1403/11/25
2025-02-13T03:42:00,65831,1403/11/25
2025-02-13T03:43:00,65859,1403/11/25
2025-02-13T03:44:00,65898,1403/11/25
2025-02-13T03:45:00,65901,1403/11/25
2025-02-13T03:46:00,65873,1403/11/25
2025-02-13T03:47:00,65903,1403/11/25
2025-02-13T03:48:00,65935,1403/11/25
2025-02-13T03:49:00,65972,1403/11/25
2025-02-13T03:50:00,65967,1403/11/25
2025-02-13T03:51:00,65948,1403/11/25
2025-02-13T03:52:00,65975,1403/11/25
2025-02-13T03:53:00,66025,1403/11/25
2025-02-13T03:54:00,65993,1403/11/25
2025-02-13T03:55:00,65959,1403/11/25
2025-02-13T03:56:00,65930,1403/11/25
2025-02-13T03:57:00,65950,1403/11/25
2025-02-13T03:58:00,65906,1403/11/25
2025-02-13T03:59:00,65862,1403/11/25
2025-02-13T04:00:00,65821,1403/11/25
2025-02-13T04:01:00,65867,1403/11/25
2025-02-13T04:02:00,65909,1403/11/25
2025-02-13T04:03:00,65945,1403/11/25
2025-02-13T04:04:00,65942,1403/11/25
2025-02-13T04:05:00,65967,1403/11/25
2025-02-13T04:06:00,65948,1403/11/25
2025-02-13T04:07:00,65916,1403/11/25
2025-02-13T04:08:00,65887,1403/11/25
2025-02-13T04:09:00,65852,1403/11/25
2025-02-13T04:10:00,65885,1403/11/25
2025-02-13T04:11:00,65928,1403/11/25
2025-02-13T04:12:00,65911,1403/11/25
2025-02-13T04:13:00,65885,1403/11/25
2025-02-13T04:14:00,65885,1403/11/25
2025-02-13T04:15:00,65904,1403/11/25
2025-02-13T04:16:00,65945,1403/11/25
2025-02-13T04:17:00,65984,1403/11/25
2025-02-13T04:18:00,66001,1403/11/25
2025-02-13T04:19:00,66006,1403/11/25
2025-02-13T04:20:00,66016,1403/11/25
2025-02-13T04:21:00,65989,1403/11/25
2025-02-13T04:22:00,66019,1403/11/25
2025-02-13T04:23:00,66011,1403/11/25
2025-02-13T04:24:00,66035,1403/11/25
2025-02-13T04:25:00,66025,1403/11/25
2025-02-13T04:26:00,65976,1403/11/25
2025-02-13T04:27:00,65986,1403/11/25
2025-02-13T04:28:00,65970,1403/11/25
2025-02-13T04:29:00,65936,1403/11/25
2025-02-13T04:30:00,65946,1403/11/25
2025-02-13T04:31:00,65910,1403/11/25
2025-02-13T04:32:00,65879,1403/11/25
2025-02-13T04:33:00,65878,1403/11/25
2025-02-13T04:34:00,65879,1403/11/25
2025-02-13T04:35:00,65900,1403/11/25
2025-02-13T04:36:00,65855,1403/11/25
2025-02-13T04:37:00,65854,1403/11/25
2025-02-13T04:38:00,65895,1403/11/25
2025-02-13T04:39:00,65914,1403/11/25
2025-02-13T04:40:00,65909,1403/11/25
2025-02-13T04:41:00,65885,1403/11/25
2025-02-13T04:42:00,65898,1403/11/25
2025-02-13T04:43:00,65870,1403/11/25
2025-02-13T04:44:00,65900,1403/11/25
2025-02-13T04:45:00,65906,1403/11/25
2025-02-13T04:46:00,65867,1403/11/25
2025-02-13T04:47:00,65830,1403/11/25
2025-02-13T04:48:00,65787,1403/11/25
2025-02-13T04:49:00,65772,1403/11/25
2025-02-13T04:50:00,65736,1403/11/25
2025-02-13T04:51:00,65723,1403/11/25
2025-02-13T04:52:00,65726,1403/11/25
2025-02-13T04:53:00,65694,1403/11/25
2025-02-13T04:54:00,65720,1403/11/25
2025-02-13T04:55:00,65703,1403/11/25
2025-02-13T04:56:00,65682,1403/11/25
2025-02-13T04:57:00,65721,1403/11/25
2025-02-13T04:58:00,65693,1403/11/25
2025-02-13T04:59:00,65663,1403/11/25
2025-02-13T05:00:00,65626,1403/11/25
2025-02-13T05:01:00,65654,1403/11/25
2025-02-13T05:02:00,65648,1403/11/25
2025-02-13T05:03:00,65651,1403/11/25
2025-02-13T05:04:00,65625,1403/11/25
2025-02-13T05:05:00,65664,1403/11/25
2025-02-13T05:06:00,65656,1403/11/25
2025-02-13T05:07:00,65624,1403/11/25
2025-02-13T05:08:00,65673,1403/11/25
2025-02-13T05:09:00,65675,1403/11/25
2025-02-13T05:10:00,65716,1403/11/25
2025-02-13T05:11:00,65731,1403/11/25
2025-02-13T05:12:00,65734,1403/11/25
2025-02-13T05:13:00,65689,1403/11/25
2025-02-13T05:14:00,65675,1403/11/25
2025-02-13T05:15:00,65639,1403/11/25
2025-02-13T05:16:00,65657,1403/11/25
2025-02-13T05:17:00,65618,1403/11/25
2025-02-13T05:18:00,65572,1403/11/25
2025-02-13T05:19:00,65593,1403/11/25
2025-02-13T05:20:00,65602,1403/11/25
2025-02-13T05:21:00,65640,1403/11/25
2025-02-13T05:22:00,65673,1403/11/25
2025-02-13T05:23:00,65636,1403/11/25
2025-02-13T05:24:00,65650,1403/11/25
2025-02-13T05:25:00,65687,1403/11/25
2025-02-13T05:26:00,65681,1403/11/25
2025-02-13T05:27:00,65711,1403/11/25
2025-02-13T05:28:00,65664,1403/11/25
2025-02-13T05:29:00,65700,1403/11/25
2025-02-13T05:30:00,65670,1403/11/25
2025-02-13T05:31:00,65703,1403/11/25
2025-02-13T05:32:00,65715,1403/11/25
2025-02-13T05:33:00,65686,1403/11/25
2025-02-13T05:34:00,65711,1403/11/25
2025-02-13T05:35:00,65749,1403/11/25
2025-02-13T05:36:00,65794,1403/11/25
2025-02-13T05:37:00,65788,1403/11/25
2025-02-13T05:38:00,65758,1403/11/25
2025-02-13T05:39:00,65755,1403/11/25
2025-02-13T05:40:00,65780,1403/11/25
2025-02-13T05:41:00,65751,1403/11/25
2025-02-13T05:42:00,65762,1403/11/25
2025-02-13T05:43:00,65799,1403/11/25
2025-02-13T05:44:00,65787,1403/11/25
2025-02-13T05:45:00,65793,1403/11/25
2025-02-13T05:46:00,65783,1403/11/25
2025-02-13T05:47:00,65740,1403/11/25
2025-02-13T05:48:00,65749,1403/11/25
2025-02-13T05:49:00,65762,1403/11/25
2025-02-13T05:50:00,65811,1403/11/25
2025-02-13T05:51:00,65812,1403/11/25
2025-02-13T05:52:00,65762,1403/11/25
2025-02-13T05:53:00,65730,1403/11/25
2025-02-13T05:54:00,65710,1403/11/25
2025-02-13T05:55:00,65667,1403/11/25
2025-02-13T05:56:00,65716,1403/11/25
2025-02-13T05:57:00,65723,1403/11/25
2025-02-13T05:58:00,65722,1403/11/25
2025-02-13T05:59:00,65679,1403/11/25
2025-02-13T06:00:00,65631,1403/11/25
2025-02-13T06:01:00,65595,1403/11/25
2025-02-13T06:02:00,65611,1403/11/25
2025-02-13T06:03:00,65611,1403/11/25
2025-02-13T06:04:00,65562,1403/11/25
2025-02-13T06:05:00,65555,1403/11/25
2025-02-13T06:06:00,65552,1403/11/25
2025-02-13T06:07:00,65543,1403/11/25
2025-02-13T06:08:00,65588,1403/11/25
2025-02-13T06:09:00,65562,1403/11/25
2025-02-13T06:10:00,65590,1403/11/25
2025-02-13T06:11:00,65616,1403/11/25
2025-02-13T06:12:00,65569,1403/11/25
2025-02-13T06:13:00,65608,1403/11/25
2025-02-13T06:14:00,65568,1403/11/25
2025-02-13T06:15:00,65563,1403/11/25
2025-02-13T06:16:00,65604,1403/11/25
2025-02-13T06:17:00,65645,1403/11/25
2025-02-13T06:18:00,65669,1403/11/25
2025-02-13T06:19:00,65706,1403/11/25
2025-02-13T06:20:00,65708,1403/11/25
2025-02-13T06:21:00,65757,1403/11/25
2025-02-13T06:22:00,65786,1403/11/25
2025-02-13T06:23:00,65746,1403/11/25
2025-02-13T06:24:00,65734,1403/11/25
2025-02-13T06:25:00,65755,1403/11/25
2025-02-13T06:26:00,65720,1403/11/25
2025-02-13T06:27:00,65692,1403/11/25
2025-02-13T06:28:00,65668,1403/11/25
2025-02-13T06:29:00,65637,1403/11/25
2025-02-13T06:30:00,65652,1403/11/25
2025-02-13T06:31:00,65626,1403/11/25
2025-02-13T06:32:00,65627,1403/11/25
2025-02-13T06:33:00,65669,1403/11/25
2025-02-13T06:34:00,65678,1403/11/25
2025-02-13T06:35:00,65674,1403/11/25
2025-02-13T06:36:00,65701,1403/11/25
2025-02-13T06:37:00,65712,1403/11/25
2025-02-13T06:38:00,65697,1403/11/25
2025-02-13T06:39:00,65691,1403/11/25
2025-02-13T06:40:00,65728,1403/11/25
2025-02-13T06:41:00,65771,1403/11/25
2025-02-13T06:42:00,65770,1403/11/25
2025-02-13T06:43:00,65805,1403/11/25
2025-02-13T06:44:00,65816,1403/11/25
2025-02-13T06:45:00,65859,1403/11/25
2025-02-13T06:46:00,65862,1403/11/25
2025-02-13T06:47:00,65836,1403/11/25
2025-02-13T06:48:00,65861,1403/11/25
2025-02-13T06:49:00,65829,1403/11/25
2025-02-13T06:50:00,65784,1403/11/25
2025-02-13T06:51:00,65808,1403/11/25
2025-02-13T06:52:00,65850,1403/11/25
2025-02-13T06:53:00,65806,1403/11/25
2025-02-13T06:54:00,65762,1403/11/25
2025-02-13T06:55:00,65768,1403/11/25
2025-02-13T06:56:00,65775,1403/11/25
2025-02-13T06:57:00,65806,1403/11/25
2025-02-13T06:58:00,65826,1403/11/25
2025-02-13T06:59:00,65817,1403/11/25
2025-02-13T07:00:00,65773,1403/11/25
2025-02-13T07:01:00,65787,1403/11/25
2025-02-13T07:02:00,65747,1403/11/25
