date,price18,j_date
2025-04-01T00:00:00,65535,1404/01/12
2025-04-01T00:01:00,65557,1404/01/12
2025-04-01T00:02:00,65557,1404/01/12
2025-04-01T00:03:00,65602,1404/01/12
2025-04-01T00:04:00,65608,1404/01/12
2025-04-01T00:05:00,65570,1404/01/12
2025-04-01T00:06:00,65562,1404/01/12
2025-04-01T00:07:00,65588,1404/01/12
2025-04-01T00:08:00,65547,1404/01/12
2025-04-01T00:09:00,65558,1404/01/12
2025-04-01T00:10:00,65533,1404/01/12
2025-04-01T00:11:00,65546,1404/01/12
2025-04-01T00:12:00,65557,1404/01/12
2025-04-01T00:13:00,65579,1404/01/12
2025-04-01T00:14:00,65584,1404/01/12
2025-04-01T00:15:00,65566,1404/01/12
2025-04-01T00:16:00,65557,1404/01/12
2025-04-01T00:17:00,65530,1404/01/12
2025-04-01T00:18:00,65483,1404/01/12
2025-04-01T00:19:00,65493,1404/01/12
2025-04-01T00:20:00,65446,1404/01/12
2025-04-01T00:21:00,65418,1404/01/12
2025-04-01T00:22:00,65383,1404/01/12
2025-04-01T00:23:00,65425,1404/01/12
2025-04-01T00:24:00,65410,1404/01/12
2025-04-01T00:25:00,65370,1404/01/12
2025-04-01T00:26:00,65327,1404/01/12
2025-04-01T00:27:00,65290,1404/01/12
2025-04-01T00:28:00,65249,1404/01/12
2025-04-01T00:29:00,65206,1404/01/12
2025-04-01T00:30:00,65170,1404/01/12
2025-04-01T00:31:00,65152,1404/01/12
2025-04-01T00:32:00,65152,1404/01/12
2025-04-01T00:33:00,65109,1404/01/12
2025-04-01T00:34:00,65091,1404/01/12
2025-04-01T00:35:00,65108,1404/01/12
2025-04-01T00:36:00,65138,1404/01/12
2025-04-01T00:37:00,65143,1404/01/12
2025-04-01T00:38:00,65167,1404/01/12
2025-04-01T00:39:00,65183,1404/01/12
2025-04-01T00:40:00,65226,1404/01/12
2025-04-01T00:41:00,65234,1404/01/12
2025-04-01T00:42:00,65211,1404/01/12
2025-04-01T00:43:00,65212,1404/01/12
2025-04-01T00:44:00,65222,1404/01/12
2025-04-01T00:45:00,65188,1404/01/12
2025-04-01T00:46:00,65203,1404/01/12
2025-04-01T00:47:00,65214,1404/01/12
2025-04-01T00:48:00,65245,1404/01/12
2025-04-01T00:49:00,65246,1404/01/12
2025-04-01T00:50:00,65223,1404/01/12
2025-04-01T00:51:00,65270,1404/01/12
2025-04-01T00:52:00,65275,1404/01/12
2025-04-01T00:53:00,65301,1404/01/12
2025-04-01T00:54:00,65307,1404/01/12
2025-04-01T00:55:00,65337,1404/01/12
2025-04-01T00:56:00,65326,1404/01/12
2025-04-01T00:57:00,65280,1404/01/12
2025-04-01T00:58:00,65298,1404/01/12
2025-04-01T00:59:00,65283,1404/01/12
2025-04-01T01:00:00,65258,1404/01/12
