date,price18,j_date
2025-01-21T00:00:00,65935,1403/11/02
2025-01-21T00:01:00,65949,1403/11/02
2025-01-21T00:02:00,65991,1403/11/02
2025-01-21T00:03:00,65979,1403/11/02
2025-01-21T00:04:00,66010,1403/11/02
2025-01-21T00:05:00,66026,1403/11/02
2025-01-21T00:06:00,65989,1403/11/02
2025-01-21T00:07:00,65953,1403/11/02
2025-01-21T00:08:00,65910,1403/11/02
2025-01-21T00:09:00,65925,1403/11/02
2025-01-21T00:10:00,65909,1403/11/02
2025-01-21T00:11:00,65900,1403/11/02
2025-01-21T00:12:00,65894,1403/11/02
2025-01-21T00:13:00,65942,1403/11/02
2025-01-21T00:14:00,65943,1403/11/02
2025-01-21T00:15:00,65920,1403/11/02
2025-01-21T00:16:00,65928,1403/11/02
2025-01-21T00:17:00,65945,1403/11/02
2025-01-21T00:18:00,65935,1403/11/02
2025-01-21T00:19:00,65907,1403/11/02
2025-01-21T00:20:00,65870,1403/11/02
2025-01-21T00:21:00,65836,1403/11/02
2025-01-21T00:22:00,65820,1403/11/02
2025-01-21T00:23:00,65820,1403/11/02
2025-01-21T00:24:00,65811,1403/11/02
2025-01-21T00:25:00,65787,1403/11/02
2025-01-21T00:26:00,65834,1403/11/02
2025-01-21T00:27:00,65857,1403/11/02
2025-01-21T00:28:00,65834,1403/11/02
2025-01-21T00:29:00,65826,1403/11/02
2025-01-21T00:30:00,65792,1403/11/02
2025-01-21T00:31:00,65842,1403/11/02
2025-01-21T00:32:00,65855,1403/11/02
2025-01-21T00:33:00,65871,1403/11/02
2025-01-21T00:34:00,65841,1403/11/02
2025-01-21T00:35:00,65868,1403/11/02
2025-01-21T00:36:00,65913,1403/11/02
2025-01-21T00:37:00,65888,1403/11/02
2025-01-21T00:38:00,65904,1403/11/02
2025-01-21T00:39:00,65861,1403/11/02
2025-01-21T00:40:00,65813,1403/11/02
2025-01-21T00:41:00,65793,1403/11/02
2025-01-21T00:42:00,65756,1403/11/02
2025-01-21T00:43:00,65788,1403/11/02
2025-01-21T00:44:00,65757,1403/11/02
2025-01-21T00:45:00,65759,1403/11/02
2025-01-21T00:46:00,65784,1403/11/02
2025-01-21T00:47:00,65802,1403/11/02
2025-01-21T00:48:00,65794,1403/11/02
2025-01-21T00:49:00,65773,1403/11/02
2025-01-21T00:50:00,65821,1403/11/02
2025-01-21T00:51:00,65834,1403/11/02
2025-01-21T00:52:00,65789,1403/11/02
2025-01-21T00:53:00,65786,1403/11/02
2025-01-21T00:54:00,65799,1403/11/02
2025-01-21T00:55:00,65756,1403/11/02
2025-01-21T00:56:00,65715,1403/11/02
2025-01-21T00:57:00,65740,1403/11/02
2025-01-21T00:58:00,65731,1403/11/02
2025-01-21T00:59:00,65750,1403/11/02
2025-01-21T01:00:00,65753,1403/11/02
2025-01-21T01:01:00,65724,1403/11/02
2025-01-21T01:02:00,65747,1403/11/02
2025-01-21T01:03:00,65699,1403/11/02
2025-01-21T01:04:00,65736,1403/11/02
2025-01-21T01:05:00,65752,1403/11/02
2025-01-21T01:06:00,65702,1403/11/02
2025-01-21T01:07:00,65729,1403/11/02
2025-01-21T01:08:00,65746,1403/11/02
2025-01-21T01:09:00,65700,1403/11/02
2025-01-21T01:10:00,65690,1403/11/02
2025-01-21T01:11:00,65683,1403/11/02
2025-01-21T01:12:00,65732,1403/11/02
2025-01-21T01:13:00,65682,1403/11/02
2025-01-21T01:14:00,65714,1403/11/02
2025-01-21T01:15:00,65753,1403/11/02
2025-01-21T01:16:00,65730,1403/11/02
2025-01-21T01:17:00,65689,1403/11/02
2025-01-21T01:18:00,65691,1403/11/02
2025-01-21T01:19:00,65643,1403/11/02
2025-01-21T01:20:00,65654,1403/11/02
2025-01-21T01:21:00,65604,1403/11/02
2025-01-21T01:22:00,65632,1403/11/02
2025-01-21T01:23:00,65628,1403/11/02
2025-01-21T01:24:00,65647,1403/11/02
2025-01-21T01:25:00,65691,1403/11/02
2025-01-21T01:26:00,65687,1403/11/02
2025-01-21T01:27:00,65667,1403/11/02
2025-01-21T01:28:00,65663,1403/11/02
2025-01-21T01:29:00,65696,1403/11/02
2025-01-21T01:30:00,65681,1403/11/02
2025-01-21T01:31:00,65675,1403/11/02
2025-01-21T01:32:00,65698,1403/11/02
2025-01-21T01:33:00,65671,1403/11/02
2025-01-21T01:34:00,65700,1403/11/02
2025-01-21T01:35:00,65744,1403/11/02
2025-01-21T01:36:00,65750,1403/11/02
2025-01-21T01:37:00,65763,1403/11/02
2025-01-21T01:38:00,65809,1403/11/02
2025-01-21T01:39:00,65775,1403/11/02
2025-01-21T01:40:00,65805,1403/11/02
2025-01-21T01:41:00,65802,1403/11/02
2025-01-21T01:42:00,65757,1403/11/02
2025-01-21T01:43:00,65740,1403/11/02
