date,price18,j_date
2025-01-17T00:00:00,65819,1403/10/28
2025-01-17T00:01:00,65793,1403/10/28
2025-01-17T00:02:00,65800,1403/10/28
2025-01-17T00:03:00,65774,1403/10/28
2025-01-17T00:04:00,65774,1403/10/28
2025-01-17T00:05:00,65789,1403/10/28
2025-01-17T00:06:00,65828,1403/10/28
2025-01-17T00:07:00,65806,1403/10/28
2025-01-17T00:08:00,65787,1403/10/28
2025-01-17T00:09:00,65776,1403/10/28
2025-01-17T00:10:00,65826,1403/10/28
2025-01-17T00:11:00,65861,1403/10/28
2025-01-17T00:12:00,65831,1403/10/28
2025-01-17T00:13:00,65855,1403/10/28
2025-01-17T00:14:00,65841,1403/10/28
2025-01-17T00:15:00,65828,1403/10/28
2025-01-17T00:16:00,65782,1403/10/28
2025-01-17T00:17:00,65804,1403/10/28
2025-01-17T00:18:00,65792,1403/10/28
2025-01-17T00:19:00,65768,1403/10/28
2025-01-17T00:20:00,65720,1403/10/28
2025-01-17T00:21:00,65727,1403/10/28
2025-01-17T00:22:00,65733,1403/10/28
2025-01-17T00:23:00,65714,1403/10/28
2025-01-17T00:24:00,65749,1403/10/28
2025-01-17T00:25:00,65699,1403/10/28
2025-01-17T00:26:00,65714,1403/10/28
2025-01-17T00:27:00,65703,1403/10/28
2025-01-17T00:28:00,65657,1403/10/28
2025-01-17T00:29:00,65655,1403/10/28
2025-01-17T00:30:00,65657,1403/10/28
2025-01-17T00:31:00,65633,1403/10/28
2025-01-17T00:32:00,65596,1403/10/28
2025-01-17T00:33:00,65602,1403/10/28
2025-01-17T00:34:00,65582,1403/10/28
2025-01-17T00:35:00,65627,1403/10/28
2025-01-17T00:36:00,65667,1403/10/28
2025-01-17T00:37:00,65683,1403/10/28
2025-01-17T00:38:00,65639,1403/10/28
2025-01-17T00:39:00,65689,1403/10/28
2025-01-17T00:40:00,65675,1403/10/28
2025-01-17T00:41:00,65646,1403/10/28
2025-01-17T00:42:00,65653,1403/10/28
2025-01-17T00:43:00,65622,1403/10/28
2025-01-17T00:44:00,65664,1403/10/28
2025-01-17T00:45:00,65622,1403/10/28
2025-01-17T00:46:00,65586,1403/10/28
2025-01-17T00:47:00,65609,1403/10/28
2025-01-17T00:48:00,65630,1403/10/28
2025-01-17T00:49:00,65656,1403/10/28
2025-01-17T00:50:00,65649,1403/10/28
2025-01-17T00:51:00,65614,1403/10/28
2025-01-17T00:52:00,65647,1403/10/28
2025-01-17T00:53:00,65621,1403/10/28
2025-01-17T00:54:00,65632,1403/10/28
2025-01-17T00:55:00,65588,1403/10/28
2025-01-17T00:56:00,65582,1403/10/28
2025-01-17T00:57:00,65611,1403/10/28
2025-01-17T00:58:00,65570,1403/10/28
2025-01-17T00:59:00,65610,1403/10/28
2025-01-17T01:00:00,65611,1403/10/28
2025-01-17T01:01:00,65591,1403/10/28
2025-01-17T01:02:00,65632,1403/10/28
2025-01-17T01:03:00,65657,1403/10/28
2025-01-17T01:04:00,65654,1403/10/28
2025-01-17T01:05:00,65663,1403/10/28
2025-01-17T01:06:00,65644,1403/10/28
2025-01-17T01:07:00,65605,1403/10/28
2025-01-17T01:08:00,65597,1403/10/28
2025-01-17T01:09:00,65577,1403/10/28
2025-01-17T01:10:00,65538,1403/10/28
