date,price18
2025-03-17T00:00:00,65587
2025-03-17T00:01:00,65635
2025-03-17T00:02:00,65625
2025-03-17T00:03:00,65589
2025-03-17T00:04:00,65625
2025-03-17T00:05:00,65579
2025-03-17T00:06:00,65570
2025-03-17T00:07:00,65536
2025-03-17T00:08:00,65571
2025-03-17T00:09:00,65542
2025-03-17T00:10:00,65507
2025-03-17T00:11:00,65553
2025-03-17T00:12:00,65529
2025-03-17T00:13:00,65502
2025-03-17T00:14:00,65489
2025-03-17T00:15:00,65466
2025-03-17T00:16:00,65493
2025-03-17T00:17:00,65534
2025-03-17T00:18:00,65510
2025-03-17T00:19:00,65538
2025-03-17T00:20:00,65545
2025-03-17T00:21:00,65514
2025-03-17T00:22:00,65515
2025-03-17T00:23:00,65501
2025-03-17T00:24:00,65457
2025-03-17T00:25:00,65425
2025-03-17T00:26:00,65432
2025-03-17T00:27:00,65399
2025-03-17T00:28:00,65445
2025-03-17T00:29:00,65450
2025-03-17T00:30:00,65487
2025-03-17T00:31:00,65456
2025-03-17T00:32:00,65431
2025-03-17T00:33:00,65437
2025-03-17T00:34:00,65435
2025-03-17T00:35:00,65478
2025-03-17T00:36:00,65498
2025-03-17T00:37:00,65516
2025-03-17T00:38:00,65488
2025-03-17T00:39:00,65449
2025-03-17T00:40:00,65410
2025-03-17T00:41:00,65449
2025-03-17T00:42:00,65452
2025-03-17T00:43:00,65427
2025-03-17T00:44:00,65405
2025-03-17T00:45:00,65446
2025-03-17T00:46:00,65450
2025-03-17T00:47:00,65405
2025-03-17T00:48:00,65438
2025-03-17T00:49:00,65416
2025-03-17T00:50:00,65380
2025-03-17T00:51:00,65358
2025-03-17T00:52:00,65350
2025-03-17T00:53:00,65319
2025-03-17T00:54:00,65307
2025-03-17T00:55:00,65278
2025-03-17T00:56:00,65290
2025-03-17T00:57:00,65334
2025-03-17T00:58:00,65310
2025-03-17T00:59:00,65337
2025-03-17T01:00:00,65357
2025-03-17T01:01:00,65346
2025-03-17T01:02:00,65335
2025-03-17T01:03:00,65334
2025-03-17T01:04:00,65337
2025-03-17T01:05:00,65368
2025-03-17T01:06:00,65324
2025-03-17T01:07:00,65342
2025-03-17T01:08:00,65314
2025-03-17T01:09:00,65344
2025-03-17T01:10:00,65379
2025-03-17T01:11:00,65425
2025-03-17T01:12:00,65390
2025-03-17T01:13:00,65387
2025-03-17T01:14:00,65372
2025-03-17T01:15:00,65365
2025-03-17T01:16:00,65337
2025-03-17T01:17:00,65378
2025-03-17T01:18:00,65337
2025-03-17T01:19:00,65293
2025-03-17T01:20:00,65282
2025-03-17T01:21:00,65257
2025-03-17T01:22:00,65267
2025-03-17T01:23:00,65237
2025-03-17T01:24:00,65191
2025-03-17T01:25:00,65219
2025-03-17T01:26:00,65201
2025-03-17T01:27:00,65224
2025-03-17T01:28:00,65186
2025-03-17T01:29:00,65225
2025-03-17T01:30:00,65269
2025-03-17T01:31:00,65280
2025-03-17T01:32:00,65231
2025-03-17T01:33:00,65199
2025-03-17T01:34:00,65151
2025-03-17T01:35:00,65186
2025-03-17T01:36:00,65180
2025-03-17T01:37:00,65163
2025-03-17T01:38:00,65136
2025-03-17T01:39:00,65161
2025-03-17T01:40:00,65174
2025-03-17T01:41:00,65188
2025-03-17T01:42:00,65154
2025-03-17T01:43:00,65154
2025-03-17T01:44:00,65132
2025-03-17T01:45:00,65144
2025-03-17T01:46:00,65145
2025-03-17T01:47:00,65115
2025-03-17T01:48:00,65086
2025-03-17T01:49:00,65066
2025-03-17T01:50:00,65032
2025-03-17T01:51:00,65069
2025-03-17T01:52:00,65040
2025-03-17T01:53:00,65060
2025-03-17T01:54:00,65048
2025-03-17T01:55:00,65014
2025-03-17T01:56:00,65021
2025-03-17T01:57:00,65000
2025-03-17T01:58:00,65000
2025-03-17T01:59:00,65000
2025-03-17T02:00:00,65029
2025-03-17T02:01:00,65028
2025-03-17T02:02:00,65000
2025-03-17T02:03:00,65020
2025-03-17T02:04:00,65013
2025-03-17T02:05:00,65059
2025-03-17T02:06:00,65032
2025-03-17T02:07:00,65078
2025-03-17T02:08:00,65116
2025-03-17T02:09:00,65096
2025-03-17T02:10:00,65091
2025-03-17T02:11:00,65129
2025-03-17T02:12:00,65135
2025-03-17T02:13:00,65124
2025-03-17T02:14:00,65149
2025-03-17T02:15:00,65109
2025-03-17T02:16:00,65103
2025-03-17T02:17:00,65124
2025-03-17T02:18:00,65164
2025-03-17T02:19:00,65130
2025-03-17T02:20:00,65147
2025-03-17T02:21:00,65138
2025-03-17T02:22:00,65127
2025-03-17T02:23:00,65143
2025-03-17T02:24:00,65111
2025-03-17T02:25:00,65141
2025-03-17T02:26:00,65171
2025-03-17T02:27:00,65203
2025-03-17T02:28:00,65244
2025-03-17T02:29:00,65256
2025-03-17T02:30:00,65242
2025-03-17T02:31:00,65210
2025-03-17T02:32:00,65201
2025-03-17T02:33:00,65195
2025-03-17T02:34:00,65163
2025-03-17T02:35:00,65170
2025-03-17T02:36:00,65192
2025-03-17T02:37:00,65208
2025-03-17T02:38:00,65257
2025-03-17T02:39:00,65286
2025-03-17T02:40:00,65251
2025-03-17T02:41:00,65284
2025-03-17T02:42:00,65260
2025-03-17T02:43:00,65247
2025-03-17T02:44:00,65252
2025-03-17T02:45:00,65228
2025-03-17T02:46:00,65245
2025-03-17T02:47:00,65287
2025-03-17T02:48:00,65243
2025-03-17T02:49:00,65212
2025-03-17T02:50:00,65226
2025-03-17T02:51:00,65233
2025-03-17T02:52:00,65233
2025-03-17T02:53:00,65279
2025-03-17T02:54:00,65242
2025-03-17T02:55:00,65275
2025-03-17T02:56:00,65307
2025-03-17T02:57:00,65276
2025-03-17T02:58:00,65289
2025-03-17T02:59:00,65301
2025-03-17T03:00:00,65349
2025-03-17T03:01:00,65315
2025-03-17T03:02:00,65329
2025-03-17T03:03:00,65359
2025-03-17T03:04:00,65325
2025-03-17T03:05:00,65295
2025-03-17T03:06:00,65337
2025-03-17T03:07:00,65288
2025-03-17T03:08:00,65325
2025-03-17T03:09:00,65322
2025-03-17T03:10:00,65330
2025-03-17T03:11:00,65322
2025-03-17T03:12:00,65303
2025-03-17T03:13:00,65302
2025-03-17T03:14:00,65277
2025-03-17T03:15:00,65236
2025-03-17T03:16:00,65253
2025-03-17T03:17:00,65263
2025-03-17T03:18:00,65302
2025-03-17T03:19:00,65341
2025-03-17T03:20:00,65322
2025-03-17T03:21:00,65326
2025-03-17T03:22:00,65296
2025-03-17T03:23:00,65340
2025-03-17T03:24:00,65374
2025-03-17T03:25:00,65333
2025-03-17T03:26:00,65317
2025-03-17T03:27:00,65307
2025-03-17T03:28:00,65350
2025-03-17T03:29:00,65359
2025-03-17T03:30:00,65311
2025-03-17T03:31:00,65268
2025-03-17T03:32:00,65218
2025-03-17T03:33:00,65185
2025-03-17T03:34:00,65165
2025-03-17T03:35:00,65140
2025-03-17T03:36:00,65164
2025-03-17T03:37:00,65141
2025-03-17T03:38:00,65132
2025-03-17T03:39:00,65174
2025-03-17T03:40:00,65130
2025-03-17T03:41:00,65165
2025-03-17T03:42:00,65157
2025-03-17T03:43:00,65122
2025-03-17T03:44:00,65081
2025-03-17T03:45:00,65116
2025-03-17T03:46:00,65150
2025-03-17T03:47:00,65126
2025-03-17T03:48:00,65133
2025-03-17T03:49:00,65084
2025-03-17T03:50:00,65054
2025-03-17T03:51:00,65089
2025-03-17T03:52:00,65124
2025-03-17T03:53:00,65117
2025-03-17T03:54:00,65122
2025-03-17T03:55:00,65106
2025-03-17T03:56:00,65132
2025-03-17T03:57:00,65099
2025-03-17T03:58:00,65101
2025-03-17T03:59:00,65071
2025-03-17T04:00:00,65032
2025-03-17T04:01:00,65000
2025-03-17T04:02:00,65000
2025-03-17T04:03:00,65000
2025-03-17T04:04:00,65016
2025-03-17T04:05:00,65064
2025-03-17T04:06:00,65062
2025-03-17T04:07:00,65039
2025-03-17T04:08:00,65060
2025-03-17T04:09:00,65086
2025-03-17T04:10:00,65133
2025-03-17T04:11:00,65104
2025-03-17T04:12:00,65135
2025-03-17T04:13:00,65154
2025-03-17T04:14:00,65105
2025-03-17T04:15:00,65102
2025-03-17T04:16:00,65104
2025-03-17T04:17:00,65096
2025-03-17T04:18:00,65121
2025-03-17T04:19:00,65127
2025-03-17T04:20:00,65155
2025-03-17T04:21:00,65105
2025-03-17T04:22:00,65141
2025-03-17T04:23:00,65118
2025-03-17T04:24:00,65081
2025-03-17T04:25:00,65098
2025-03-17T04:26:00,65141
2025-03-17T04:27:00,65153
2025-03-17T04:28:00,65177
2025-03-17T04:29:00,65173
2025-03-17T04:30:00,65171
2025-03-17T04:31:00,65202
2025-03-17T04:32:00,65249
2025-03-17T04:33:00,65221
2025-03-17T04:34:00,65266
2025-03-17T04:35:00,65278
2025-03-17T04:36:00,65259
2025-03-17T04:37:00,65222
2025-03-17T04:38:00,65229
2025-03-17T04:39:00,65192
2025-03-17T04:40:00,65212
2025-03-17T04:41:00,65166
2025-03-17T04:42:00,65190
2025-03-17T04:43:00,65140
