date,price18
2025-05-29T00:00:00,65681
2025-05-29T00:01:00,65704
2025-05-29T00:02:00,65654
2025-05-29T00:03:00,65631
2025-05-29T00:04:00,65654
2025-05-29T00:05:00,65662
2025-05-29T00:06:00,65708
2025-05-29T00:07:00,65749
2025-05-29T00:08:00,65775
2025-05-29T00:09:00,65807
2025-05-29T00:10:00,65821
2025-05-29T00:11:00,65830
2025-05-29T00:12:00,65856
2025-05-29T00:13:00,65838
2025-05-29T00:14:00,65817
2025-05-29T00:15:00,65855
2025-05-29T00:16:00,65845
2025-05-29T00:17:00,65820
2025-05-29T00:18:00,65784
2025-05-29T00:19:00,65757
2025-05-29T00:20:00,65752
2025-05-29T00:21:00,65758
2025-05-29T00:22:00,65743
2025-05-29T00:23:00,65791
2025-05-29T00:24:00,65772
2025-05-29T00:25:00,65798
2025-05-29T00:26:00,65785
2025-05-29T00:27:00,65825
2025-05-29T00:28:00,65864
2025-05-29T00:29:00,65887
2025-05-29T00:30:00,65906
2025-05-29T00:31:00,65896
2025-05-29T00:32:00,65912
2025-05-29T00:33:00,65905
2025-05-29T00:34:00,65940
2025-05-29T00:35:00,65989
2025-05-29T00:36:00,65996
2025-05-29T00:37:00,65973
2025-05-29T00:38:00,65942
2025-05-29T00:39:00,65923
2025-05-29T00:40:00,65882
2025-05-29T00:41:00,65856
2025-05-29T00:42:00,65872
2025-05-29T00:43:00,65878
2025-05-29T00:44:00,65832
2025-05-29T00:45:00,65881
2025-05-29T00:46:00,65874
2025-05-29T00:47:00,65889
2025-05-29T00:48:00,65912
2025-05-29T00:49:00,65895
2025-05-29T00:50:00,65867
2025-05-29T00:51:00,65859
2025-05-29T00:52:00,65894
2025-05-29T00:53:00,65934
2025-05-29T00:54:00,65915
2025-05-29T00:55:00,65874
2025-05-29T00:56:00,65901
2025-05-29T00:57:00,65900
2025-05-29T00:58:00,65863
2025-05-29T00:59:00,65884
2025-05-29T01:00:00,65910
2025-05-29T01:01:00,65936
2025-05-29T01:02:00,65970
2025-05-29T01:03:00,65994
2025-05-29T01:04:00,66003
2025-05-29T01:05:00,66047
2025-05-29T01:06:00,66018
2025-05-29T01:07:00,66043
2025-05-29T01:08:00,66090
2025-05-29T01:09:00,66068
2025-05-29T01:10:00,66040
2025-05-29T01:11:00,66087
2025-05-29T01:12:00,66096
2025-05-29T01:13:00,66069
2025-05-29T01:14:00,66061
2025-05-29T01:15:00,66042
2025-05-29T01:16:00,66047
2025-05-29T01:17:00,65999
2025-05-29T01:18:00,66046
2025-05-29T01:19:00,66006
2025-05-29T01:20:00,65999
2025-05-29T01:21:00,65950
2025-05-29T01:22:00,65979
2025-05-29T01:23:00,65951
2025-05-29T01:24:00,65911
2025-05-29T01:25:00,65866
2025-05-29T01:26:00,65825
2025-05-29T01:27:00,65790
2025-05-29T01:28:00,65742
2025-05-29T01:29:00,65697
2025-05-29T01:30:00,65713
2025-05-29T01:31:00,65683
2025-05-29T01:32:00,65719
2025-05-29T01:33:00,65727
2025-05-29T01:34:00,65693
2025-05-29T01:35:00,65701
2025-05-29T01:36:00,65665
2025-05-29T01:37:00,65708
2025-05-29T01:38:00,65725
2025-05-29T01:39:00,65709
2025-05-29T01:40:00,65673
2025-05-29T01:41:00,65710
2025-05-29T01:42:00,65665
2025-05-29T01:43:00,65656
2025-05-29T01:44:00,65637
2025-05-29T01:45:00,65663
2025-05-29T01:46:00,65655
2025-05-29T01:47:00,65674
2025-05-29T01:48:00,65670
2025-05-29T01:49:00,65660
2025-05-29T01:50:00,65689
2025-05-29T01:51:00,65713
2025-05-29T01:52:00,65692
2025-05-29T01:53:00,65653
2025-05-29T01:54:00,65610
2025-05-29T01:55:00,65583
2025-05-29T01:56:00,65544
2025-05-29T01:57:00,65514
2025-05-29T01:58:00,65478
2025-05-29T01:59:00,65486
2025-05-29T02:00:00,65479
2025-05-29T02:01:00,65443
2025-05-29T02:02:00,65399
2025-05-29T02:03:00,65358
2025-05-29T02:04:00,65330
2025-05-29T02:05:00,65344
2025-05-29T02:06:00,65300
2025-05-29T02:07:00,65254
2025-05-29T02:08:00,65303
2025-05-29T02:09:00,65276
2025-05-29T02:10:00,65239
2025-05-29T02:11:00,65213
2025-05-29T02:12:00,65207
2025-05-29T02:13:00,65174
2025-05-29T02:14:00,65149
2025-05-29T02:15:00,65196
2025-05-29T02:16:00,65194
2025-05-29T02:17:00,65205
2025-05-29T02:18:00,65180
2025-05-29T02:19:00,65187
2025-05-29T02:20:00,65181
2025-05-29T02:21:00,65148
2025-05-29T02:22:00,65148
2025-05-29T02:23:00,65132
2025-05-29T02:24:00,65147
2025-05-29T02:25:00,65149
2025-05-29T02:26:00,65153
2025-05-29T02:27:00,65158
2025-05-29T02:28:00,65109
2025-05-29T02:29:00,65124
2025-05-29T02:30:00,65118
2025-05-29T02:31:00,65080
2025-05-29T02:32:00,65064
2025-05-29T02:33:00,65042
2025-05-29T02:34:00,65076
2025-05-29T02:35:00,65053
2025-05-29T02:36:00,65027
2025-05-29T02:37:00,65025
2025-05-29T02:38:00,65001
2025-05-29T02:39:00,65049
2025-05-29T02:40:00,65040
2025-05-29T02:41:00,65045
2025-05-29T02:42:00,65005
2025-05-29T02:43:00,65006
2025-05-29T02:44:00,65000
2025-05-29T02:45:00,65004
2025-05-29T02:46:00,65015
2025-05-29T02:47:00,65046
2025-05-29T02:48:00,65083
2025-05-29T02:49:00,65063
2025-05-29T02:50:00,65087
2025-05-29T02:51:00,65070
2025-05-29T02:52:00,65072
2025-05-29T02:53:00,65082
2025-05-29T02:54:00,65082
2025-05-29T02:55:00,65064
2025-05-29T02:56:00,65094
2025-05-29T02:57:00,65079
2025-05-29T02:58:00,65073
2025-05-29T02:59:00,65069
2025-05-29T03:00:00,65040
2025-05-29T03:01:00,65028
2025-05-29T03:02:00,65060
2025-05-29T03:03:00,65012
2025-05-29T03:04:00,65000
2025-05-29T03:05:00,65015
2025-05-29T03:06:00,65017
2025-05-29T03:07:00,65000
2025-05-29T03:08:00,65009
2025-05-29T03:09:00,65028
2025-05-29T03:10:00,65045
2025-05-29T03:11:00,65066
2025-05-29T03:12:00,65064
2025-05-29T03:13:00,65111
2025-05-29T03:14:00,65094
2025-05-29T03:15:00,65130
2025-05-29T03:16:00,65136
2025-05-29T03:17:00,65091
2025-05-29T03:18:00,65059
2025-05-29T03:19:00,65083
2025-05-29T03:20:00,65059
2025-05-29T03:21:00,65083
2025-05-29T03:22:00,65043
2025-05-29T03:23:00,65027
2025-05-29T03:24:00,65015
2025-05-29T03:25:00,65036
2025-05-29T03:26:00,65000
2025-05-29T03:27:00,65013
2025-05-29T03:28:00,65000
2025-05-29T03:29:00,65000
2025-05-29T03:30:00,65000
2025-05-29T03:31:00,65000
2025-05-29T03:32:00,65037
2025-05-29T03:33:00,65004
2025-05-29T03:34:00,65008
2025-05-29T03:35:00,65031
2025-05-29T03:36:00,65008
2025-05-29T03:37:00,65032
2025-05-29T03:38:00,65000
2025-05-29T03:39:00,65000
2025-05-29T03:40:00,65000
2025-05-29T03:41:00,65023
2025-05-29T03:42:00,65046
2025-05-29T03:43:00,65059
2025-05-29T03:44:00,65067
2025-05-29T03:45:00,65063
2025-05-29T03:46:00,65047
2025-05-29T03:47:00,65093
2025-05-29T03:48:00,65128
2025-05-29T03:49:00,65160
2025-05-29T03:50:00,65111
2025-05-29T03:51:00,65077
2025-05-29T03:52:00,65048
2025-05-29T03:53:00,65091
2025-05-29T03:54:00,65055
2025-05-29T03:55:00,65074
2025-05-29T03:56:00,65084
2025-05-29T03:57:00,65112
2025-05-29T03:58:00,65081
2025-05-29T03:59:00,65109
2025-05-29T04:00:00,65075
2025-05-29T04:01:00,65107
2025-05-29T04:02:00,65136
2025-05-29T04:03:00,65148
2025-05-29T04:04:00,65129
2025-05-29T04:05:00,65108
2025-05-29T04:06:00,65154
2025-05-29T04:07:00,65112
2025-05-29T04:08:00,65076
2025-05-29T04:09:00,65116
2025-05-29T04:10:00,65159
2025-05-29T04:11:00,65166
2025-05-29T04:12:00,65195
2025-05-29T04:13:00,65184
2025-05-29T04:14:00,65210
2025-05-29T04:15:00,65168
2025-05-29T04:16:00,65165
2025-05-29T04:17:00,65126
2025-05-29T04:18:00,65176
2025-05-29T04:19:00,65133
2025-05-29T04:20:00,65112
2025-05-29T04:21:00,65131
2025-05-29T04:22:00,65139
2025-05-29T04:23:00,65105
2025-05-29T04:24:00,65093
2025-05-29T04:25:00,65056
2025-05-29T04:26:00,65073
2025-05-29T04:27:00,65052
2025-05-29T04:28:00,65038
2025-05-29T04:29:00,65011
2025-05-29T04:30:00,65002
2025-05-29T04:31:00,65000
2025-05-29T04:32:00,65000
2025-05-29T04:33:00,65038
2025-05-29T04:34:00,65037
2025-05-29T04:35:00,65086
2025-05-29T04:36:00,65089
2025-05-29T04:37:00,65131
2025-05-29T04:38:00,65086
2025-05-29T04:39:00,65073
2025-05-29T04:40:00,65048
2025-05-29T04:41:00,65059
2025-05-29T04:42:00,65016
2025-05-29T04:43:00,65000
2025-05-29T04:44:00,65000
2025-05-29T04:45:00,65000
2025-05-29T04:46:00,65008
2025-05-29T04:47:00,65034
2025-05-29T04:48:00,65029
2025-05-29T04:49:00,65002
2025-05-29T04:50:00,65020
2025-05-29T04:51:00,65055
2025-05-29T04:52:00,65099
2025-05-29T04:53:00,65105
2025-05-29T04:54:00,65065
2025-05-29T04:55:00,65089
2025-05-29T04:56:00,65047
2025-05-29T04:57:00,65001
2025-05-29T04:58:00,65051
2025-05-29T04:59:00,65093
2025-05-29T05:00:00,65092
2025-05-29T05:01:00,65097
2025-05-29T05:02:00,65136
2025-05-29T05:03:00,65143
2025-05-29T05:04:00,65106
2025-05-29T05:05:00,65124
2025-05-29T05:06:00,65167
2025-05-29T05:07:00,65117
2025-05-29T05:08:00,65154
2025-05-29T05:09:00,65170
2025-05-29T05:10:00,65200
2025-05-29T05:11:00,65234
2025-05-29T05:12:00,65241
2025-05-29T05:13:00,65262
2025-05-29T05:14:00,65240
2025-05-29T05:15:00,65260
2025-05-29T05:16:00,65287
2025-05-29T05:17:00,65313
2025-05-29T05:18:00,65307
2025-05-29T05:19:00,65261
2025-05-29T05:20:00,65252
2025-05-29T05:21:00,65208
2025-05-29T05:22:00,65251
2025-05-29T05:23:00,65263
2025-05-29T05:24:00,65279
2025-05-29T05:25:00,65274
2025-05-29T05:26:00,65266
2025-05-29T05:27:00,65301
2025-05-29T05:28:00,65254
2025-05-29T05:29:00,65256
2025-05-29T05:30:00,65207
2025-05-29T05:31:00,65198
2025-05-29T05:32:00,65155
2025-05-29T05:33:00,65133
2025-05-29T05:34:00,65118
2025-05-29T05:35:00,65099
2025-05-29T05:36:00,65088
2025-05-29T05:37:00,65125
2025-05-29T05:38:00,65169
2025-05-29T05:39:00,65188
2025-05-29T05:40:00,65157
2025-05-29T05:41:00,65195
2025-05-29T05:42:00,65214
2025-05-29T05:43:00,65235
2025-05-29T05:44:00,65229
2025-05-29T05:45:00,65260
2025-05-29T05:46:00,65301
2025-05-29T05:47:00,65279
2025-05-29T05:48:00,65291
2025-05-29T05:49:00,65271
2025-05-29T05:50:00,65249
2025-05-29T05:51:00,65199
2025-05-29T05:52:00,65243
2025-05-29T05:53:00,65232
2025-05-29T05:54:00,65236
2025-05-29T05:55:00,65271
2025-05-29T05:56:00,65251
2025-05-29T05:57:00,65264
2025-05-29T05:58:00,65305
2025-05-29T05:59:00,65308
2025-05-29T06:00:00,65339
2025-05-29T06:01:00,65344
2025-05-29T06:02:00,65371
2025-05-29T06:03:00,65401
2025-05-29T06:04:00,65377
2025-05-29T06:05:00,65386
2025-05-29T06:06:00,65343
2025-05-29T06:07:00,65374
2025-05-29T06:08:00,65368
2025-05-29T06:09:00,65357
2025-05-29T06:10:00,65379
2025-05-29T06:11:00,65358
2025-05-29T06:12:00,65385
2025-05-29T06:13:00,65393
2025-05-29T06:14:00,65408
2025-05-29T06:15:00,65404
2025-05-29T06:16:00,65383
2025-05-29T06:17:00,65351
2025-05-29T06:18:00,65328
2025-05-29T06:19:00,65357
2025-05-29T06:20:00,65394
2025-05-29T06:21:00,65372
2025-05-29T06:22:00,65339
2025-05-29T06:23:00,65321
2025-05-29T06:24:00,65287
2025-05-29T06:25:00,65260
2025-05-29T06:26:00,65257
2025-05-29T06:27:00,65286
2025-05-29T06:28:00,65313
2025-05-29T06:29:00,65354
2025-05-29T06:30:00,65348
2025-05-29T06:31:00,65305
2025-05-29T06:32:00,65324
2025-05-29T06:33:00,65298
2025-05-29T06:34:00,65341
2025-05-29T06:35:00,65378
2025-05-29T06:36:00,65425
2025-05-29T06:37:00,65422
2025-05-29T06:38:00,65382
2025-05-29T06:39:00,65422
2025-05-29T06:40:00,65444
2025-05-29T06:41:00,65475
2025-05-29T06:42:00,65431
2025-05-29T06:43:00,65454
2025-05-29T06:44:00,65504
2025-05-29T06:45:00,65474
2025-05-29T06:46:00,65487
2025-05-29T06:47:00,65507
2025-05-29T06:48:00,65552
2025-05-29T06:49:00,65548
2025-05-29T06:50:00,65559
2025-05-29T06:51:00,65555
2025-05-29T06:52:00,65535
2025-05-29T06:53:00,65534
2025-05-29T06:54:00,65509
2025-05-29T06:55:00,65551
2025-05-29T06:56:00,65601
2025-05-29T06:57:00,65620
2025-05-29T06:58:00,65659
2025-05-29T06:59:00,65680
2025-05-29T07:00:00,65704
2025-05-29T07:01:00,65670
2025-05-29T07:02:00,65641
2025-05-29T07:03:00,65619
2025-05-29T07:04:00,65593
2025-05-29T07:05:00,65547
2025-05-29T07:06:00,65548
2025-05-29T07:07:00,65543
2025-05-29T07:08:00,65516
2025-05-29T07:09:00,65565
2025-05-29T07:10:00,65532
2025-05-29T07:11:00,65546
2025-05-29T07:12:00,65543
2025-05-29T07:13:00,65547
2025-05-29T07:14:00,65511
2025-05-29T07:15:00,65461
2025-05-29T07:16:00,65446
2025-05-29T07:17:00,65416
2025-05-29T07:18:00,65379
2025-05-29T07:19:00,65411
2025-05-29T07:20:00,65375
2025-05-29T07:21:00,65350
2025-05-29T07:22:00,65361
2025-05-29T07:23:00,65314
2025-05-29T07:24:00,65267
2025-05-29T07:25:00,65295
2025-05-29T07:26:00,65318
2025-05-29T07:27:00,65308
2025-05-29T07:28:00,65267
2025-05-29T07:29:00,65272
2025-05-29T07:30:00,65298
2025-05-29T07:31:00,65312
2025-05-29T07:32:00,65322
2025-05-29T07:33:00,65361
2025-05-29T07:34:00,65395
2025-05-29T07:35:00,65420
2025-05-29T07:36:00,65371
2025-05-29T07:37:00,65357
2025-05-29T07:38:00,65388
2025-05-29T07:39:00,65374
2025-05-29T07:40:00,65368
2025-05-29T07:41:00,65372
2025-05-29T07:42:00,65402
2025-05-29T07:43:00,65359
2025-05-29T07:44:00,65319
2025-05-29T07:45:00,65305
2025-05-29T07:46:00,65342
2025-05-29T07:47:00,65378
2025-05-29T07:48:00,65358
2025-05-29T07:49:00,65358
2025-05-29T07:50:00,65325
2025-05-29T07:51:00,65279
2025-05-29T07:52:00,65290
2025-05-29T07:53:00,65324
2025-05-29T07:54:00,65347
2025-05-29T07:55:00,65311
2025-05-29T07:56:00,65336
2025-05-29T07:57:00,65346
2025-05-29T07:58:00,65321
2025-05-29T07:59:00,65287
2025-05-29T08:00:00,65309
2025-05-29T08:01:00,65280
2025-05-29T08:02:00,65239
2025-05-29T08:03:00,65282
2025-05-29T08:04:00,65275
2025-05-29T08:05:00,65227
2025-05-29T08:06:00,65178
2025-05-29T08:07:00,65204
2025-05-29T08:08:00,65190
2025-05-29T08:09:00,65165
2025-05-29T08:10:00,65160
2025-05-29T08:11:00,65179
2025-05-29T08:12:00,65160
2025-05-29T08:13:00,65185
2025-05-29T08:14:00,65150
2025-05-29T08:15:00,65124
2025-05-29T08:16:00,65135
2025-05-29T08:17:00,65121
2025-05-29T08:18:00,65163
2025-05-29T08:19:00,65189
2025-05-29T08:20:00,65229
2025-05-29T08:21:00,65222
2025-05-29T08:22:00,65220
2025-05-29T08:23:00,65240
2025-05-29T08:24:00,65253
2025-05-29T08:25:00,65284
2025-05-29T08:26:00,65249
2025-05-29T08:27:00,65273
2025-05-29T08:28:00,65307
2025-05-29T08:29:00,65306
2025-05-29T08:30:00,65326
2025-05-29T08:31:00,65283
2025-05-29T08:32:00,65291
2025-05-29T08:33:00,65326
2025-05-29T08:34:00,65318
2025-05-29T08:35:00,65346
2025-05-29T08:36:00,65338
2025-05-29T08:37:00,65332
2025-05-29T08:38:00,65285
2025-05-29T08:39:00,65242
2025-05-29T08:40:00,65265
2025-05-29T08:41:00,65248
2025-05-29T08:42:00,65213
2025-05-29T08:43:00,65206
2025-05-29T08:44:00,65236
2025-05-29T08:45:00,65223
2025-05-29T08:46:00,65267
2025-05-29T08:47:00,65272
2025-05-29T08:48:00,65284
2025-05-29T08:49:00,65238
2025-05-29T08:50:00,65208
2025-05-29T08:51:00,65163
2025-05-29T08:52:00,65212
