date,price18
2025-04-14T00:00:00,66884
2025-04-14T00:01:00,66872
2025-04-14T00:02:00,66834
2025-04-14T00:03:00,66877
2025-04-14T00:04:00,66885
2025-04-14T00:05:00,66841
2025-04-14T00:06:00,66875
2025-04-14T00:07:00,66887
2025-04-14T00:08:00,66866
2025-04-14T00:09:00,66826
2025-04-14T00:10:00,66861
2025-04-14T00:11:00,66842
2025-04-14T00:12:00,66796
2025-04-14T00:13:00,66803
2025-04-14T00:14:00,66851
2025-04-14T00:15:00,66813
2025-04-14T00:16:00,66800
2025-04-14T00:17:00,66804
2025-04-14T00:18:00,66808
2025-04-14T00:19:00,66832
2025-04-14T00:20:00,66817
2025-04-14T00:21:00,66861
2025-04-14T00:22:00,66898
2025-04-14T00:23:00,66924
2025-04-14T00:24:00,66967
2025-04-14T00:25:00,66942
2025-04-14T00:26:00,66980
2025-04-14T00:27:00,66976
2025-04-14T00:28:00,66933
2025-04-14T00:29:00,66960
2025-04-14T00:30:00,66951
2025-04-14T00:31:00,66924
2025-04-14T00:32:00,66934
2025-04-14T00:33:00,66884
2025-04-14T00:34:00,66930
2025-04-14T00:35:00,66908
2025-04-14T00:36:00,66877
2025-04-14T00:37:00,66860
2025-04-14T00:38:00,66854
2025-04-14T00:39:00,66833
2025-04-14T00:40:00,66829
2025-04-14T00:41:00,66780
2025-04-14T00:42:00,66791
2025-04-14T00:43:00,66805
2025-04-14T00:44:00,66845
2025-04-14T00:45:00,66822
2025-04-14T00:46:00,66777
2025-04-14T00:47:00,66816
2025-04-14T00:48:00,66862
2025-04-14T00:49:00,66909
2025-04-14T00:50:00,66893
2025-04-14T00:51:00,66933
2025-04-14T00:52:00,66926
2025-04-14T00:53:00,66954
2025-04-14T00:54:00,66949
2025-04-14T00:55:00,66979
2025-04-14T00:56:00,66994
2025-04-14T00:57:00,66978
2025-04-14T00:58:00,66993
2025-04-14T00:59:00,66954
2025-04-14T01:00:00,66929
2025-04-14T01:01:00,66885
2025-04-14T01:02:00,66871
2025-04-14T01:03:00,66871
2025-04-14T01:04:00,66897
2025-04-14T01:05:00,66920
2025-04-14T01:06:00,66943
2025-04-14T01:07:00,66942
2025-04-14T01:08:00,66937
2025-04-14T01:09:00,66928
2025-04-14T01:10:00,66962
2025-04-14T01:11:00,66912
2025-04-14T01:12:00,66897
2025-04-14T01:13:00,66870
2025-04-14T01:14:00,66856
2025-04-14T01:15:00,66854
2025-04-14T01:16:00,66873
2025-04-14T01:17:00,66891
2025-04-14T01:18:00,66843
2025-04-14T01:19:00,66794
2025-04-14T01:20:00,66773
2025-04-14T01:21:00,66763
2025-04-14T01:22:00,66717
2025-04-14T01:23:00,66756
2025-04-14T01:24:00,66715
2025-04-14T01:25:00,66692
2025-04-14T01:26:00,66723
2025-04-14T01:27:00,66770
2025-04-14T01:28:00,66811
2025-04-14T01:29:00,66831
2025-04-14T01:30:00,66793
2025-04-14T01:31:00,66799
2025-04-14T01:32:00,66847
2025-04-14T01:33:00,66859
2025-04-14T01:34:00,66829
2025-04-14T01:35:00,66854
2025-04-14T01:36:00,66853
2025-04-14T01:37:00,66815
2025-04-14T01:38:00,66807
2025-04-14T01:39:00,66827
2025-04-14T01:40:00,66817
2025-04-14T01:41:00,66809
2025-04-14T01:42:00,66825
2025-04-14T01:43:00,66867
2025-04-14T01:44:00,66839
2025-04-14T01:45:00,66854
2025-04-14T01:46:00,66873
2025-04-14T01:47:00,66858
2025-04-14T01:48:00,66908
2025-04-14T01:49:00,66950
2025-04-14T01:50:00,66953
2025-04-14T01:51:00,67000
2025-04-14T01:52:00,67000
2025-04-14T01:53:00,66977
2025-04-14T01:54:00,67000
2025-04-14T01:55:00,66990
2025-04-14T01:56:00,66998
2025-04-14T01:57:00,66990
2025-04-14T01:58:00,67000
2025-04-14T01:59:00,67000
2025-04-14T02:00:00,66954
2025-04-14T02:01:00,66904
2025-04-14T02:02:00,66877
2025-04-14T02:03:00,66886
2025-04-14T02:04:00,66856
2025-04-14T02:05:00,66814
2025-04-14T02:06:00,66849
2025-04-14T02:07:00,66811
2025-04-14T02:08:00,66847
2025-04-14T02:09:00,66811
2025-04-14T02:10:00,66810
2025-04-14T02:11:00,66797
2025-04-14T02:12:00,66753
2025-04-14T02:13:00,66792
2025-04-14T02:14:00,66809
2025-04-14T02:15:00,66762
2025-04-14T02:16:00,66712
2025-04-14T02:17:00,66667
2025-04-14T02:18:00,66703
2025-04-14T02:19:00,66728
2025-04-14T02:20:00,66755
2025-04-14T02:21:00,66779
2025-04-14T02:22:00,66782
2025-04-14T02:23:00,66787
2025-04-14T02:24:00,66803
2025-04-14T02:25:00,66830
2025-04-14T02:26:00,66854
2025-04-14T02:27:00,66898
2025-04-14T02:28:00,66905
2025-04-14T02:29:00,66952
2025-04-14T02:30:00,66993
2025-04-14T02:31:00,66946
2025-04-14T02:32:00,66925
2025-04-14T02:33:00,66921
2025-04-14T02:34:00,66939
2025-04-14T02:35:00,66967
2025-04-14T02:36:00,67000
2025-04-14T02:37:00,67000
2025-04-14T02:38:00,66988
2025-04-14T02:39:00,67000
2025-04-14T02:40:00,67000
2025-04-14T02:41:00,66984
2025-04-14T02:42:00,66979
2025-04-14T02:43:00,66982
2025-04-14T02:44:00,67000
2025-04-14T02:45:00,66952
2025-04-14T02:46:00,66935
2025-04-14T02:47:00,66957
2025-04-14T02:48:00,66927
2025-04-14T02:49:00,66925
2025-04-14T02:50:00,66892
2025-04-14T02:51:00,66929
2025-04-14T02:52:00,66948
2025-04-14T02:53:00,66944
2025-04-14T02:54:00,66947
2025-04-14T02:55:00,66980
2025-04-14T02:56:00,66940
2025-04-14T02:57:00,66920
2025-04-14T02:58:00,66912
2025-04-14T02:59:00,66868
2025-04-14T03:00:00,66858
2025-04-14T03:01:00,66817
2025-04-14T03:02:00,66782
2025-04-14T03:03:00,66752
2025-04-14T03:04:00,66773
2025-04-14T03:05:00,66724
2025-04-14T03:06:00,66718
2025-04-14T03:07:00,66756
2025-04-14T03:08:00,66786
2025-04-14T03:09:00,66813
2025-04-14T03:10:00,66840
2025-04-14T03:11:00,66850
2025-04-14T03:12:00,66823
2025-04-14T03:13:00,66854
2025-04-14T03:14:00,66829
2025-04-14T03:15:00,66854
2025-04-14T03:16:00,66821
2025-04-14T03:17:00,66863
2025-04-14T03:18:00,66887
2025-04-14T03:19:00,66859
2025-04-14T03:20:00,66888
2025-04-14T03:21:00,66936
2025-04-14T03:22:00,66933
2025-04-14T03:23:00,66927
2025-04-14T03:24:00,66877
2025-04-14T03:25:00,66885
2025-04-14T03:26:00,66926
2025-04-14T03:27:00,66912
2025-04-14T03:28:00,66894
2025-04-14T03:29:00,66872
2025-04-14T03:30:00,66885
2025-04-14T03:31:00,66869
2025-04-14T03:32:00,66822
2025-04-14T03:33:00,66870
2025-04-14T03:34:00,66903
2025-04-14T03:35:00,66951
2025-04-14T03:36:00,66972
2025-04-14T03:37:00,66931
2025-04-14T03:38:00,66957
2025-04-14T03:39:00,66928
2025-04-14T03:40:00,66883
2025-04-14T03:41:00,66856
2025-04-14T03:42:00,66887
2025-04-14T03:43:00,66903
2025-04-14T03:44:00,66895
2025-04-14T03:45:00,66932
2025-04-14T03:46:00,66901
2025-04-14T03:47:00,66940
2025-04-14T03:48:00,66918
2025-04-14T03:49:00,66963
2025-04-14T03:50:00,66955
2025-04-14T03:51:00,66948
2025-04-14T03:52:00,66943
2025-04-14T03:53:00,66954
2025-04-14T03:54:00,66921
2025-04-14T03:55:00,66969
2025-04-14T03:56:00,66942
2025-04-14T03:57:00,66983
2025-04-14T03:58:00,66953
2025-04-14T03:59:00,66920
2025-04-14T04:00:00,66948
2025-04-14T04:01:00,66983
2025-04-14T04:02:00,67000
2025-04-14T04:03:00,67000
2025-04-14T04:04:00,66971
2025-04-14T04:05:00,66944
2025-04-14T04:06:00,66952
2025-04-14T04:07:00,66996
2025-04-14T04:08:00,67000
2025-04-14T04:09:00,66995
2025-04-14T04:10:00,66950
2025-04-14T04:11:00,66989
2025-04-14T04:12:00,66939
2025-04-14T04:13:00,66910
2025-04-14T04:14:00,66888
2025-04-14T04:15:00,66870
2025-04-14T04:16:00,66860
2025-04-14T04:17:00,66883
2025-04-14T04:18:00,66892
2025-04-14T04:19:00,66865
2025-04-14T04:20:00,66867
2025-04-14T04:21:00,66827
2025-04-14T04:22:00,66804
2025-04-14T04:23:00,66838
2025-04-14T04:24:00,66865
2025-04-14T04:25:00,66836
2025-04-14T04:26:00,66809
2025-04-14T04:27:00,66812
2025-04-14T04:28:00,66779
2025-04-14T04:29:00,66764
2025-04-14T04:30:00,66749
2025-04-14T04:31:00,66699
2025-04-14T04:32:00,66657
2025-04-14T04:33:00,66670
2025-04-14T04:34:00,66632
2025-04-14T04:35:00,66636
2025-04-14T04:36:00,66649
2025-04-14T04:37:00,66633
2025-04-14T04:38:00,66612
2025-04-14T04:39:00,66577
2025-04-14T04:40:00,66567
2025-04-14T04:41:00,66586
2025-04-14T04:42:00,66589
2025-04-14T04:43:00,66547
2025-04-14T04:44:00,66541
2025-04-14T04:45:00,66494
2025-04-14T04:46:00,66495
2025-04-14T04:47:00,66470
2025-04-14T04:48:00,66434
2025-04-14T04:49:00,66399
2025-04-14T04:50:00,66426
2025-04-14T04:51:00,66450
2025-04-14T04:52:00,66486
2025-04-14T04:53:00,66439
2025-04-14T04:54:00,66415
2025-04-14T04:55:00,66431
2025-04-14T04:56:00,66443
2025-04-14T04:57:00,66429
2025-04-14T04:58:00,66433
2025-04-14T04:59:00,66411
2025-04-14T05:00:00,66441
2025-04-14T05:01:00,66428
2025-04-14T05:02:00,66478
2025-04-14T05:03:00,66489
2025-04-14T05:04:00,66456
2025-04-14T05:05:00,66470
2025-04-14T05:06:00,66425
2025-04-14T05:07:00,66436
2025-04-14T05:08:00,66469
2025-04-14T05:09:00,66437
2025-04-14T05:10:00,66435
2025-04-14T05:11:00,66425
2025-04-14T05:12:00,66430
2025-04-14T05:13:00,66480
2025-04-14T05:14:00,66514
2025-04-14T05:15:00,66544
2025-04-14T05:16:00,66525
2025-04-14T05:17:00,66519
2025-04-14T05:18:00,66519
2025-04-14T05:19:00,66539
2025-04-14T05:20:00,66529
2025-04-14T05:21:00,66560
2025-04-14T05:22:00,66516
2025-04-14T05:23:00,66520
2025-04-14T05:24:00,66558
2025-04-14T05:25:00,66573
2025-04-14T05:26:00,66584
2025-04-14T05:27:00,66615
2025-04-14T05:28:00,66576
2025-04-14T05:29:00,66609
2025-04-14T05:30:00,66639
2025-04-14T05:31:00,66624
2025-04-14T05:32:00,66608
2025-04-14T05:33:00,66589
2025-04-14T05:34:00,66562
2025-04-14T05:35:00,66600
2025-04-14T05:36:00,66608
2025-04-14T05:37:00,66646
2025-04-14T05:38:00,66646
2025-04-14T05:39:00,66654
2025-04-14T05:40:00,66632
2025-04-14T05:41:00,66611
2025-04-14T05:42:00,66660
2025-04-14T05:43:00,66677
2025-04-14T05:44:00,66684
2025-04-14T05:45:00,66700
2025-04-14T05:46:00,66659
2025-04-14T05:47:00,66662
2025-04-14T05:48:00,66635
2025-04-14T05:49:00,66638
2025-04-14T05:50:00,66672
2025-04-14T05:51:00,66666
2025-04-14T05:52:00,66668
2025-04-14T05:53:00,66708
2025-04-14T05:54:00,66668
2025-04-14T05:55:00,66619
2025-04-14T05:56:00,66622
2025-04-14T05:57:00,66642
2025-04-14T05:58:00,66663
2025-04-14T05:59:00,66703
2025-04-14T06:00:00,66656
2025-04-14T06:01:00,66684
2025-04-14T06:02:00,66724
2025-04-14T06:03:00,66727
2025-04-14T06:04:00,66680
2025-04-14T06:05:00,66692
2025-04-14T06:06:00,66658
2025-04-14T06:07:00,66610
2025-04-14T06:08:00,66627
2025-04-14T06:09:00,66629
2025-04-14T06:10:00,66676
2025-04-14T06:11:00,66700
2025-04-14T06:12:00,66689
2025-04-14T06:13:00,66721
2025-04-14T06:14:00,66701
2025-04-14T06:15:00,66691
2025-04-14T06:16:00,66699
2025-04-14T06:17:00,66675
2025-04-14T06:18:00,66639
2025-04-14T06:19:00,66591
2025-04-14T06:20:00,66618
2025-04-14T06:21:00,66601
2025-04-14T06:22:00,66553
2025-04-14T06:23:00,66561
2025-04-14T06:24:00,66527
2025-04-14T06:25:00,66538
2025-04-14T06:26:00,66579
2025-04-14T06:27:00,66607
2025-04-14T06:28:00,66559
2025-04-14T06:29:00,66593
2025-04-14T06:30:00,66589
2025-04-14T06:31:00,66583
2025-04-14T06:32:00,66580
2025-04-14T06:33:00,66539
2025-04-14T06:34:00,66582
2025-04-14T06:35:00,66570
2025-04-14T06:36:00,66553
2025-04-14T06:37:00,66599
2025-04-14T06:38:00,66606
2025-04-14T06:39:00,66604
2025-04-14T06:40:00,66612
2025-04-14T06:41:00,66627
2025-04-14T06:42:00,66579
2025-04-14T06:43:00,66563
2025-04-14T06:44:00,66554
2025-04-14T06:45:00,66514
2025-04-14T06:46:00,66535
2025-04-14T06:47:00,66526
2025-04-14T06:48:00,66537
2025-04-14T06:49:00,66574
2025-04-14T06:50:00,66524
2025-04-14T06:51:00,66522
2025-04-14T06:52:00,66516
2025-04-14T06:53:00,66505
2025-04-14T06:54:00,66486
2025-04-14T06:55:00,66462
2025-04-14T06:56:00,66422
2025-04-14T06:57:00,66432
2025-04-14T06:58:00,66453
2025-04-14T06:59:00,66488
2025-04-14T07:00:00,66486
2025-04-14T07:01:00,66500
2025-04-14T07:02:00,66543
2025-04-14T07:03:00,66565
2025-04-14T07:04:00,66522
2025-04-14T07:05:00,66513
2025-04-14T07:06:00,66560
2025-04-14T07:07:00,66588
2025-04-14T07:08:00,66584
2025-04-14T07:09:00,66580
2025-04-14T07:10:00,66609
2025-04-14T07:11:00,66640
2025-04-14T07:12:00,66626
2025-04-14T07:13:00,66663
2025-04-14T07:14:00,66628
2025-04-14T07:15:00,66661
