date,price18
2025-01-18T00:00:00,66207
2025-01-18T00:01:00,66255
2025-01-18T00:02:00,66211
2025-01-18T00:03:00,66176
2025-01-18T00:04:00,66195
2025-01-18T00:05:00,66238
2025-01-18T00:06:00,66243
2025-01-18T00:07:00,66278
2025-01-18T00:08:00,66266
2025-01-18T00:09:00,66266
2025-01-18T00:10:00,66263
2025-01-18T00:11:00,66231
2025-01-18T00:12:00,66213
2025-01-18T00:13:00,66215
2025-01-18T00:14:00,66263
2025-01-18T00:15:00,66213
2025-01-18T00:16:00,66243
2025-01-18T00:17:00,66207
2025-01-18T00:18:00,66213
2025-01-18T00:19:00,66253
2025-01-18T00:20:00,66208
2025-01-18T00:21:00,66165
2025-01-18T00:22:00,66210
2025-01-18T00:23:00,66175
2025-01-18T00:24:00,66132
2025-01-18T00:25:00,66126
2025-01-18T00:26:00,66085
2025-01-18T00:27:00,66125
2025-01-18T00:28:00,66114
2025-01-18T00:29:00,66142
2025-01-18T00:30:00,66187
2025-01-18T00:31:00,66202
2025-01-18T00:32:00,66174
2025-01-18T00:33:00,66131
2025-01-18T00:34:00,66168
2025-01-18T00:35:00,66199
2025-01-18T00:36:00,66243
2025-01-18T00:37:00,66281
2025-01-18T00:38:00,66270
2025-01-18T00:39:00,66305
2025-01-18T00:40:00,66314
2025-01-18T00:41:00,66343
2025-01-18T00:42:00,66354
2025-01-18T00:43:00,66307
2025-01-18T00:44:00,66297
2025-01-18T00:45:00,66300
2025-01-18T00:46:00,66313
2025-01-18T00:47:00,66293
2025-01-18T00:48:00,66331
2025-01-18T00:49:00,66320
2025-01-18T00:50:00,66298
2025-01-18T00:51:00,66323
2025-01-18T00:52:00,66343
2025-01-18T00:53:00,66384
2025-01-18T00:54:00,66349
2025-01-18T00:55:00,66332
2025-01-18T00:56:00,66307
2025-01-18T00:57:00,66271
2025-01-18T00:58:00,66251
2025-01-18T00:59:00,66257
2025-01-18T01:00:00,66259
2025-01-18T01:01:00,66286
2025-01-18T01:02:00,66262
2025-01-18T01:03:00,66261
2025-01-18T01:04:00,66246
2025-01-18T01:05:00,66289
2025-01-18T01:06:00,66336
2025-01-18T01:07:00,66306
2025-01-18T01:08:00,66262
2025-01-18T01:09:00,66260
2025-01-18T01:10:00,66242
2025-01-18T01:11:00,66268
2025-01-18T01:12:00,66268
2025-01-18T01:13:00,66275
2025-01-18T01:14:00,66259
2025-01-18T01:15:00,66245
2025-01-18T01:16:00,66208
2025-01-18T01:17:00,66219
2025-01-18T01:18:00,66208
2025-01-18T01:19:00,66247
2025-01-18T01:20:00,66214
2025-01-18T01:21:00,66204
2025-01-18T01:22:00,66204
2025-01-18T01:23:00,66192
2025-01-18T01:24:00,66152
2025-01-18T01:25:00,66145
2025-01-18T01:26:00,66159
2025-01-18T01:27:00,66184
2025-01-18T01:28:00,66200
2025-01-18T01:29:00,66224
2025-01-18T01:30:00,66244
2025-01-18T01:31:00,66234
2025-01-18T01:32:00,66201
2025-01-18T01:33:00,66229
2025-01-18T01:34:00,66181
2025-01-18T01:35:00,66168
2025-01-18T01:36:00,66126
2025-01-18T01:37:00,66083
2025-01-18T01:38:00,66067
2025-01-18T01:39:00,66027
2025-01-18T01:40:00,66071
2025-01-18T01:41:00,66116
2025-01-18T01:42:00,66075
2025-01-18T01:43:00,66099
2025-01-18T01:44:00,66104
2025-01-18T01:45:00,66118
2025-01-18T01:46:00,66092
2025-01-18T01:47:00,66044
2025-01-18T01:48:00,66044
2025-01-18T01:49:00,66018
2025-01-18T01:50:00,66058
2025-01-18T01:51:00,66016
2025-01-18T01:52:00,66040
2025-01-18T01:53:00,65998
2025-01-18T01:54:00,65948
2025-01-18T01:55:00,65949
2025-01-18T01:56:00,65991
2025-01-18T01:57:00,66037
2025-01-18T01:58:00,66000
2025-01-18T01:59:00,65955
2025-01-18T02:00:00,65956
2025-01-18T02:01:00,65982
2025-01-18T02:02:00,65990
2025-01-18T02:03:00,66029
2025-01-18T02:04:00,65981
2025-01-18T02:05:00,66006
2025-01-18T02:06:00,66037
2025-01-18T02:07:00,66074
2025-01-18T02:08:00,66090
2025-01-18T02:09:00,66136
